run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_depth_m,artva_noise_std,comm_radius_m,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
29,100,2,25.0,25.0,5.0,1e-07,25,False,900.0,2,9.298369017773051e-06,0.0030493227145995962,30.200207037290784,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
32,100,2,25.0,25.0,5.0,1e-07,120,False,900.0,2,9.298369017773051e-06,0.0030493227145995962,30.200207037290784,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
30,100,2,25.0,25.0,5.0,1e-07,50,False,900.0,2,9.298369017773051e-06,0.0030493227145995962,30.200207037290784,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
33,100,2,25.0,25.0,5.0,5e-07,25,False,900.0,2,9.295473835374927e-06,0.0030488479521574912,30.20020702804812,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
35,100,2,25.0,25.0,5.0,5e-07,80,False,900.0,2,9.295473835374927e-06,0.0030488479521574912,30.20020702804812,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
36,100,2,25.0,25.0,5.0,5e-07,120,False,900.0,2,9.295473835374927e-06,0.0030488479521574912,30.20020702804812,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
34,100,2,25.0,25.0,5.0,5e-07,50,False,900.0,2,9.295473835374927e-06,0.0030488479521574912,30.20020702804812,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
37,100,2,50.0,50.0,1.0,1e-08,25,False,900.0,2,0.019614976704383485,0.1400534780160189,0.0992032812863943,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
39,100,2,50.0,50.0,1.0,1e-08,80,False,900.0,2,0.020624380761531152,0.14361191023564568,0.008744341914576728,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
38,100,2,50.0,50.0,1.0,1e-08,50,False,900.0,2,0.020624380761531152,0.14361191023564568,0.008744341914576728,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
40,100,2,50.0,50.0,1.0,1e-08,120,False,900.0,2,0.020624380761531152,0.14361191023564568,0.008744341914576728,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
41,100,2,50.0,50.0,1.0,1e-07,25,False,900.0,2,0.021958535845403995,0.1481841281831627,0.08942390141688458,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
42,100,2,50.0,50.0,1.0,1e-07,50,False,900.0,2,0.019222609548205923,0.138645625781003,0.10747241833291334,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
44,100,2,50.0,50.0,1.0,1e-07,120,False,900.0,2,0.019222609548205923,0.138645625781003,0.10747241833291334,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
