run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_dist_m,victim_depth_m,artva_noise_std,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
31,100,3,13.2,21.5,18.4,1.48,1e-06,80,center,center,True,30.1,3,0.0030041622661504622,0.054810238698170824,1.872397651930319,
30,100,3,25.4,17.7,24.0,2.55,1e-06,50,0.60,0.58,True,41.1,3,0.0032064421375421017,0.05662545485505703,1.1124214547293774,
18,100,3,25.9,20.1,25.8,1.68,1e-07,120,0.45,0.55,True,41.900000000000006,3,0.0041694841437663836,0.06457154283247678,0.23413815367115767,
28,100,3,23.4,30.4,31.3,3.82,1e-06,50,0.45,0.55,True,56.2,3,0.003737472177880509,0.06113486875654931,1.9519069511283689,
26,100,3,31.1,64.1,64.6,1.09,1e-06,50,center,center,False,64.60000000000001,3,0.024990175504535993,0.15808281217303793,12.81651947246767,vittima non trovata entro 15 minuti
21,100,3,33.5,39.4,44.7,3.14,1e-06,25,center,center,True,56.7,3,0.0077555225465837565,0.08806544467941871,2.243473296381224,
29,100,3,44.4,60.8,68.3,2.33,1e-06,50,0.60,0.45,True,68.0,3,0.003529098359416564,0.05940621482148618,0.11014134999759602,
16,100,3,25.4,35.3,36.5,2.3,1e-07,120,center,center,True,55.1,3,0.003314148336210381,0.05756864021505442,2.4918764067729944,
32,100,3,47.4,68.8,76.6,2.49,1e-06,80,0.35,0.40,False,70.5,3,0.016029312326848816,0.1266069205329978,16.7637231796601,vittima non trovata entro 15 minuti
27,100,3,12.1,67.5,62.9,1.34,1e-06,50,0.35,0.40,True,76.5,3,0.006679470289215507,0.08172802633867716,0.45237265902659507,
5,100,3,31.4,31.2,37.2,1.64,1e-07,25,0.60,0.58,True,66.7,3,0.0037018781289249597,0.06084306146903655,0.42671818679496765,
4,100,3,38.5,17.5,35.7,2.96,1e-07,25,0.60,0.45,True,67.7,3,0.007288747506409052,0.08537416181965743,2.07807759182031,
23,100,3,40.0,31.2,43.8,2.64,1e-06,25,0.45,0.55,True,81.7,3,0.0010646186121567435,0.032628493868959746,0.45522387727437746,
25,100,3,49.0,53.0,65.1,2.43,1e-06,25,0.60,0.58,True,82.4,3,0.004352467062074071,0.06597322988966109,0.46866826572839254,
12,100,3,25.2,50.0,49.4,1.38,1e-07,80,0.35,0.40,True,77.80000000000001,3,0.0036238940006132307,0.06019878736829531,0.30707315947909913,
22,100,3,18.5,67.5,63.9,1.73,1e-06,25,0.35,0.40,True,83.80000000000001,3,0.012479602806573759,0.11171214261025414,0.1951395399744589,
19,100,3,26.4,60.3,59.3,2.45,1e-07,120,0.60,0.45,True,94.80000000000001,3,0.004816468540158878,0.06940078198521164,0.20330562669224111,
9,100,3,9.1,71.9,67.0,3.42,1e-07,50,0.60,0.45,True,98.2,3,0.005158316781356297,0.07182142285806023,0.31908600973938406,
7,100,3,11.4,70.6,65.9,4.3,1e-07,50,0.35,0.40,True,98.4,3,0.012827095299410597,0.11325676712413522,0.3934500362306143,
15,100,3,20.9,75.4,72.2,3.69,1e-07,80,0.60,0.58,True,99.0,3,0.004037583143080137,0.06354197937647313,0.08870482403803608,
20,100,3,73.6,39.1,76.6,4.8,1e-07,120,0.60,0.58,False,99.60000000000001,3,0.0029771220284987732,0.05456300970894818,28.38187734100939,vittima non trovata entro 15 minuti
11,100,3,27.1,63.8,62.9,3.51,1e-07,80,center,center,True,101.0,3,0.0036639873108736563,0.06053087898646158,3.520723624115395,
3,100,3,61.7,43.2,68.4,1.33,1e-07,25,0.45,0.55,True,100.60000000000001,3,0.003675779231228816,0.06062820491511205,0.2876042752632617,
17,100,3,47.1,59.2,68.6,2.35,1e-07,120,0.35,0.40,True,104.80000000000001,3,0.003256732762031731,0.0570677909335181,0.10032828780977883,
36,100,3,40.5,44.4,53.0,4.32,1e-06,120,center,center,True,68.5,3,0.0031755900675818492,0.05635237410776807,3.117102420861183,
33,100,3,43.1,67.8,73.4,3.64,1e-06,80,0.45,0.55,True,85.30000000000001,3,0.0038510186056863807,0.06205657584564573,0.3230255590310665,
8,100,3,64.7,66.7,85.8,4.93,1e-07,50,0.45,0.55,True,120.30000000000001,3,0.0036054689717396585,0.060045557468805785,0.3306090986975801,
38,100,3,42.3,33.9,47.2,1.84,1e-06,120,0.45,0.55,True,65.4,3,0.004719985397531132,0.06870214987561256,0.3107570566270816,
42,100,3,37.9,38.2,46.7,3.33,1e-05,25,0.35,0.40,True,54.400000000000006,3,0.0047562075340283,0.06896526324192709,0.042128486176886144,
40,100,3,33.0,54.9,57.2,2.19,1e-06,120,0.60,0.58,True,63.1,3,0.006889407535761523,0.08300245499840064,0.1292893649207529,
39,100,3,47.1,68.8,76.4,4.5,1e-06,120,0.60,0.45,True,68.60000000000001,3,0.005696403684688895,0.07547452341478478,0.031980381782820984,
51,100,3,13.0,12.4,10.9,2.39,1e-05,80,center,center,True,27.900000000000002,3,0.0028752237920977104,0.05362111330528032,3.2454816181093253,
44,100,3,59.5,27.2,58.8,3.13,1e-05,25,0.60,0.45,True,56.0,3,0.01719024143177593,0.1311115610149461,2.4064493094358737,
47,100,3,47.4,44.6,58.1,1.05,1e-05,50,0.35,0.40,True,52.6,3,0.005893902000163568,0.07677175261880875,0.02376449823989544,
41,100,3,57.0,75.5,87.6,1.13,1e-05,25,center,center,True,67.2,3,0.013008320996219066,0.11405402665499831,0.722280846450774,
46,100,3,32.4,54.1,56.2,2.75,1e-05,50,center,center,True,52.1,3,0.004343057777219623,0.0659018799217414,2.592722681826697,
45,100,3,41.1,31.6,44.9,3.69,1e-05,25,0.60,0.58,True,56.7,3,0.002856522198818488,0.05344644234014541,4.499326216230387,
37,100,3,54.5,73.5,84.5,4.32,1e-06,120,0.35,0.40,True,88.10000000000001,3,0.021784352994693938,0.14759523364490446,2.9185090987354934,
49,100,3,35.9,59.9,63.0,1.49,1e-05,50,0.60,0.45,True,59.7,3,0.004733311732655384,0.06879906781821526,0.13046454057003937,
50,100,3,33.7,64.3,65.9,1.47,1e-05,50,0.60,0.58,True,59.900000000000006,3,0.006015974797267402,0.07756271525202944,0.0115919510163806,
52,100,3,41.0,47.9,56.0,1.09,1e-05,80,0.35,0.40,True,56.5,3,0.0058657074772388105,0.07658790686027926,0.03223827968570142,
57,100,3,28.3,35.5,38.4,3.23,1e-05,120,0.35,0.40,True,46.400000000000006,3,0.003504294817419486,0.059197084534793484,0.24404636534943236,
48,100,3,78.5,46.2,84.3,2.25,1e-05,50,0.45,0.55,True,74.0,3,0.0035173847168488257,0.05930754350711911,0.05105193018604597,
53,100,3,11.8,77.9,73.2,4.34,1e-05,80,0.45,0.55,True,63.300000000000004,3,0.0023409755145210663,0.048383628579521255,2.159374206904132,
43,100,3,21.8,21.5,23.6,1.13,1e-05,25,0.45,0.55,True,93.80000000000001,3,0.002897944646453841,0.05383256121023633,0.6900687906608625,
59,100,3,36.4,22.7,36.1,2.14,1e-05,120,0.60,0.45,True,57.900000000000006,3,0.0037823385422233865,0.06150071985126179,2.7025416842045016,
54,100,3,71.4,60.7,86.7,2.21,1e-05,80,0.60,0.45,True,77.4,3,0.011930650713584292,0.10922751811509905,0.13226270033232274,
55,100,3,25.1,37.6,38.3,3.9,1e-05,80,0.60,0.58,True,79.10000000000001,3,0.002029298505103418,0.04504773584880175,2.370772611091477,
68,100,3,20.0,28.4,27.8,4.93,1e-07,50,0.45,0.55,True,40.5,3,0.01739505890175137,0.1318903290683262,1.1823302802440863,
70,100,3,22.7,32.5,32.7,4.99,1e-07,50,0.60,0.58,True,53.300000000000004,3,0.0035256539957951565,0.05937721781790686,0.47983891114927174,
75,100,3,25.1,27.3,30.0,4.24,1e-07,80,0.60,0.58,True,42.1,3,0.013025387460853917,0.11412881958933035,0.5082781300856702,
56,100,3,53.8,60.8,74.1,2.25,1e-05,120,center,center,True,102.5,3,0.006240071402839412,0.07899412258414806,0.15170331567797224,
78,100,3,17.5,27.3,25.6,3.44,1e-07,120,0.45,0.55,True,28.900000000000002,3,0.0082732209901812,0.09095724814538532,0.5020378819032816,
61,100,3,32.0,40.7,44.8,2.33,1e-07,25,center,center,True,80.7,3,0.0038976510821082605,0.06243117075714871,2.7787477645606042,
58,100,3,53.2,44.9,62.5,4.88,1e-05,120,0.45,0.55,True,100.2,3,0.0039571940275536155,0.06290623202476536,0.09943509093298737,
62,100,3,41.5,29.8,44.1,1.84,1e-07,25,0.35,0.40,True,81.5,3,0.008413051043066307,0.09172268554216186,0.7314308747988038,
69,100,3,42.9,25.0,42.9,4.36,1e-07,50,0.60,0.45,True,70.0,3,0.007447587872083562,0.08629940829509529,0.60062783251159,
63,100,3,53.4,41.0,60.4,3.03,1e-07,25,0.45,0.55,True,94.0,3,0.003685432346178138,0.06070776182810678,0.22013456447771654,
77,100,3,43.5,9.4,38.8,1.56,1e-07,120,0.35,0.40,True,54.0,3,0.001526370539526583,0.03906879239913339,0.17791276898816427,
67,100,3,59.5,16.5,55.7,3.35,1e-07,50,0.35,0.40,True,91.9,3,0.001099385359260078,0.033156980551010344,0.9516844868802009,
64,100,3,63.9,60.3,80.8,1.16,1e-07,25,0.60,0.45,True,105.30000000000001,3,0.0015027969679977924,0.038765925346853164,0.49154269656770144,
72,100,3,39.1,73.8,76.7,2.92,1e-07,80,0.35,0.40,True,90.4,3,0.008446234542353603,0.09190339788252447,0.40202887600338466,
73,100,3,11.6,59.8,55.2,3.74,1e-07,80,0.45,0.55,True,101.10000000000001,3,0.0028636501359115053,0.0535130837824873,0.8911541216470238,
76,100,3,45.9,48.3,59.6,1.91,1e-07,120,center,center,True,93.5,3,0.003996089065267918,0.06321462698828427,0.656470518369109,
79,100,3,46.0,32.8,49.6,3.0,1e-07,120,0.60,0.45,True,80.4,3,0.0031481958019823095,0.05610878542601247,1.1978258262193635,
91,100,3,30.6,11.8,26.5,4.92,1e-06,80,center,center,True,39.800000000000004,3,0.0015629412031552491,0.03953405118572152,1.9190784579981315,
82,100,3,39.7,63.0,67.6,2.73,1e-06,25,0.35,0.40,True,72.9,3,0.005340114635160067,0.0730760879847852,0.06349962129291307,
80,100,3,21.1,59.2,56.5,1.41,1e-07,120,0.60,0.58,True,95.2,3,0.002820003608747519,0.053103706167719776,0.19947817020295058,
84,100,3,9.5,57.6,52.8,1.81,1e-06,25,0.60,0.45,True,73.4,3,0.00382775280829756,0.06186883551754922,1.1142942920043744,
89,100,3,13.2,31.8,28.0,3.77,1e-06,50,0.60,0.45,True,70.3,3,0.002304137914835487,0.04800143659137179,2.006959517426439,
83,100,3,39.8,33.3,44.9,4.78,1e-06,25,0.45,0.55,True,81.10000000000001,3,0.004863788476784396,0.06974086661910932,0.30963334435548834,
85,100,3,45.4,43.2,55.6,3.07,1e-06,25,0.60,0.58,True,83.80000000000001,3,0.005552194155163689,0.07451304687880968,0.30548884759040545,
86,100,3,44.0,54.2,62.8,2.94,1e-06,50,center,center,True,85.2,3,0.0014418626481191709,0.03797186653456965,2.7127494002154378,
92,100,3,38.8,45.0,52.3,4.14,1e-06,80,0.35,0.40,True,66.7,3,0.004254579050652725,0.06522713431274384,0.09318121619332292,
90,100,3,47.5,68.4,76.3,2.4,1e-06,50,0.60,0.58,True,84.7,3,0.0038377712605017914,0.06194974786471525,0.03358984029677112,
93,100,3,25.9,80.5,78.3,2.59,1e-06,80,0.45,0.55,True,75.2,3,0.024573575428888376,0.15675961032385982,2.354634709567705,
96,100,3,48.6,53.8,65.5,4.0,1e-06,120,center,center,True,66.8,3,0.0015654158873955732,0.03956533694277825,0.06901366771590182,
94,100,3,65.9,43.0,71.7,3.5,1e-06,80,0.60,0.45,True,85.2,3,0.004410248158043039,0.06640969927686045,0.2543775761958003,
97,100,3,67.0,44.9,73.8,3.27,1e-06,120,0.35,0.40,True,80.4,3,0.002516667988600723,0.05016640298646818,1.4519355584314246,
99,100,3,18.5,45.6,42.8,1.37,1e-06,120,0.60,0.45,True,73.5,3,0.0015195457026278103,0.03898135070296834,1.3160604697867084,
98,100,3,10.8,39.7,35.2,2.39,1e-06,120,0.45,0.55,True,74.60000000000001,3,0.004306845489012991,0.06562656085010848,0.7486176350395854,
101,100,3,57.5,32.3,59.2,2.56,1e-05,25,center,center,True,65.60000000000001,3,0.00039833980444304234,0.019958451955075132,0.655671850594051,
105,100,3,44.0,69.2,75.1,3.74,1e-05,25,0.60,0.58,True,58.400000000000006,3,0.0029888280531078365,0.054670175169902614,0.13875938905349788,
103,100,3,46.5,51.8,62.6,1.63,1e-05,25,0.45,0.55,True,69.4,3,0.0033303662850270406,0.05770932580638107,0.677241316915092,
100,100,3,71.7,72.4,94.8,4.14,1e-06,120,0.60,0.58,True,88.30000000000001,3,0.004811955724519393,0.06936826165127243,0.3250946065355217,
108,100,3,41.0,70.5,74.7,2.91,1e-05,50,0.45,0.55,True,58.1,3,0.01903392575754042,0.13796349429302093,1.78021346160147,
107,100,3,65.0,35.9,67.5,4.58,1e-05,50,0.35,0.40,True,64.2,3,0.0020971058113514155,0.045794167874866065,4.74608289622242,
102,100,3,23.2,23.4,25.9,2.63,1e-05,25,0.35,0.40,True,90.30000000000001,3,0.0029412894652218018,0.05423365620370622,0.42208124691042936,
109,100,3,61.0,19.5,57.8,4.54,1e-05,50,0.60,0.45,True,61.5,3,0.0018574287138387415,0.04309789686096923,4.553641391590827,
106,100,3,66.2,68.9,88.4,3.93,1e-05,50,center,center,True,91.80000000000001,3,0.0021005111454229395,0.045831333664022256,0.18238695453063195,
110,100,3,57.0,25.5,55.9,1.59,1e-05,50,0.60,0.58,True,64.4,3,0.0009723955982057793,0.03118325830002021,0.76340929106032,
113,100,3,15.8,80.8,76.5,3.86,1e-05,80,0.45,0.55,True,63.0,3,0.0018399105114545902,0.04289417806013527,2.09999888459882,
115,100,3,59.9,20.9,57.2,2.27,1e-05,80,0.60,0.58,True,69.10000000000001,3,0.009754171744502431,0.09876321048093988,2.255755688153935,
114,100,3,31.9,79.5,79.2,1.05,1e-05,80,0.60,0.45,True,70.10000000000001,3,0.0015667623642070716,0.03958234914967872,0.17017014168305242,
118,100,3,13.7,75.9,71.4,3.45,1e-05,120,0.45,0.55,True,61.7,3,0.008182443807983393,0.09045686158597033,1.638978492542122,
120,100,3,40.6,12.3,36.4,2.35,1e-05,120,0.60,0.58,True,54.0,3,0.001242226853030243,0.03524523872851825,2.351121007567639,
121,100,3,37.3,9.8,32.6,3.06,1e-07,25,center,center,True,39.900000000000006,3,0.0013664181637127039,0.03696509385505066,0.2869489388371143,
111,100,3,24.3,45.4,44.8,2.47,1e-05,80,center,center,True,94.10000000000001,3,0.0039160624470058365,0.06257845034039942,3.439798831345508,
112,100,3,25.7,35.5,36.9,4.02,1e-05,80,0.35,0.40,True,102.5,3,0.0023847859581158483,0.04883427032439257,0.09003618282479273,
119,100,3,78.0,40.0,80.9,3.57,1e-05,120,0.60,0.45,True,84.9,3,0.004399311602437382,0.06632730661226477,0.2715075408710883,
122,100,3,15.4,39.3,35.8,3.33,1e-07,25,0.35,0.40,True,52.7,3,0.0041518691065000266,0.06443499908046889,0.27643479203919746,
117,100,3,74.1,69.2,94.3,4.42,1e-05,120,0.35,0.40,True,100.7,3,0.0034842296540995763,0.05902736360451461,2.3468242818875527,
124,100,3,15.2,40.2,36.6,1.66,1e-07,25,0.60,0.45,True,52.5,3,0.01286192141694395,0.11341041141334401,1.6670705046353878,
116,100,3,80.9,41.0,84.0,1.08,1e-05,120,center,center,True,120.2,3,0.0027365541383400907,0.052312084056555144,0.1871316331416047,
127,100,3,25.2,23.6,27.5,1.9,1e-07,50,0.35,0.40,True,42.2,3,0.0040523554562000835,0.06365811382848288,0.28062052266108095,
123,100,3,58.7,44.8,66.9,3.14,1e-07,25,0.45,0.55,True,94.4,3,0.0035242733409362546,0.05936559054651318,0.1826252502262915,
126,100,3,33.0,49.3,52.4,1.84,1e-07,50,center,center,True,85.60000000000001,3,0.01350242457090875,0.1161999336097433,0.9581456090465137,
125,100,3,72.0,76.3,97.9,1.8,1e-07,25,0.60,0.58,True,98.9,3,0.03515286185928641,0.18749096474040133,0.8749055439601602,
130,100,3,13.1,55.0,50.7,1.76,1e-07,50,0.60,0.58,True,91.4,3,0.004071508736204505,0.06380837512587595,0.21650068057281585,
128,100,3,61.2,35.0,63.7,4.6,1e-07,50,0.45,0.55,True,96.80000000000001,3,0.003768399192603534,0.06138728852623753,0.17261151029802962,
131,100,3,31.4,53.0,54.7,2.07,1e-07,80,center,center,True,95.0,3,0.0037314671126414596,0.06108573575427785,2.593751693595517,
133,100,3,47.1,25.9,47.0,3.81,1e-07,80,0.45,0.55,True,82.0,3,0.003998303371872457,0.0632321387576955,0.16354976269480037,
134,100,3,27.9,73.2,71.9,3.91,1e-07,80,0.60,0.45,True,99.0,3,0.0034024027098370985,0.058330118376676544,0.20343845285046475,
135,100,3,52.5,64.9,76.5,2.52,1e-07,80,0.60,0.58,True,96.60000000000001,3,0.003864579803575537,0.062165744615306724,0.20932643163465514,
137,100,3,34.4,76.6,77.4,3.25,1e-07,120,0.35,0.40,True,92.30000000000001,3,0.009611265346456805,0.09803706108639122,0.4033478225584939,
136,100,3,75.6,48.9,83.1,4.16,1e-07,120,center,center,True,119.7,3,0.003106079011989491,0.055732208030810075,0.15119514018322158,
138,100,3,48.5,55.8,66.8,4.68,1e-07,120,0.45,0.55,True,92.2,3,0.01414431350135912,0.11892986799521439,0.2624461805099765,
142,100,3,68.5,35.8,70.6,2.71,1e-06,25,0.35,0.40,True,76.10000000000001,3,0.00536308865046262,0.07323311170817896,3.8173586003315485,
139,100,3,20.1,81.0,77.5,2.69,1e-07,120,0.60,0.45,True,103.5,3,0.0024178741987928984,0.0491718842306546,0.5293139061006835,
140,100,3,28.6,71.0,70.1,4.28,1e-07,120,0.60,0.58,True,96.0,3,0.004462615629991411,0.06680281154256466,0.2926329010994389,
143,100,3,41.2,62.2,67.7,2.21,1e-06,25,0.45,0.55,True,85.30000000000001,3,0.0005883684025091314,0.02425630644820294,1.299652673238902,
144,100,3,64.5,72.3,89.9,4.41,1e-06,25,0.60,0.45,True,83.9,3,0.024002968109254823,0.15492891308356496,1.256353627500658,
