run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_dist_m,victim_depth_m,artva_noise_std,acc_sim_ms2,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
194,200,3,46.3,98.6,102.3,1.81,1e-06,0.2,80,0.60,0.45,True,118.9,3,0.003855733938845991,0.06209455643489203,3.142696292802545,
179,200,3,165.3,47.8,165.9,4.48,1e-06,0.05,120,0.60,0.45,True,346.0,3,0.0010775741809146587,0.03282642504012063,1.892610529150339,
191,200,3,64.1,24.0,62.1,3.44,1e-06,0.2,80,center,center,True,227.20000000000002,3,0.004574669136096032,0.06763630043176543,0.6728567031533801,
137,200,3,22.8,170.3,166.3,3.48,1e-07,0.05,120,0.35,0.40,False,900.0,2,6.310887241768095e-30,2.5121479338940403e-15,4.908664300188062,vittima non trovata entro 15 minuti
141,200,3,127.5,151.7,191.2,2.65,1e-07,0.2,25,center,center,False,900.0,1,0.002290927796513546,0.047863637518616844,1.1627361890494565,vittima non trovata entro 15 minuti
202,200,3,38.7,102.4,103.1,4.12,1e-05,0.05,25,0.35,0.40,True,91.2,3,0.0010624371785467905,0.0325950483746656,1.2129589052327483,
142,200,3,35.3,92.5,92.6,3.36,1e-07,0.2,25,0.35,0.40,False,900.0,2,0.3202471508907391,0.5659038353737665,0.4395191224325911,vittima non trovata entro 15 minuti
144,200,3,26.8,111.6,108.8,2.91,1e-07,0.2,25,0.60,0.45,False,900.0,1,0.0,0.0,0.4435186081708411,vittima non trovata entro 15 minuti
143,200,3,161.1,61.4,166.0,2.53,1e-07,0.2,25,0.45,0.55,False,900.0,0,290.41829223101917,17.041663423240678,19.330104221794112,vittima non trovata entro 15 minuti
147,200,3,70.2,104.2,118.7,3.85,1e-07,0.2,50,0.35,0.40,False,900.0,0,2.0194839173657902e-28,1.4210854715202004e-14,2.5923518777802577,vittima non trovata entro 15 minuti
145,200,3,78.4,153.4,165.6,4.14,1e-07,0.2,25,0.60,0.58,False,900.0,2,19.86488275019002,4.4570037861987535,6.440917331983238,vittima non trovata entro 15 minuti
150,200,3,128.5,51.1,131.8,2.88,1e-07,0.2,50,0.60,0.58,False,900.0,0,0.0,0.0,8.213321627777814,vittima non trovata entro 15 minuti
146,200,3,113.1,129.3,164.7,4.04,1e-07,0.2,50,center,center,False,900.0,0,103.32699397551411,10.164988636270781,14.939213298321352,vittima non trovata entro 15 minuti
149,200,3,95.7,29.6,94.0,1.58,1e-07,0.2,50,0.60,0.45,False,900.0,2,2.0194839173657902e-28,1.4210854715202004e-14,13.55109798219058,vittima non trovata entro 15 minuti
