run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_dist_m,victim_depth_m,artva_noise_std,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
3222,200,5,74.5,76.7,99.8,1.57,1e-05,25,0.35,0.40,True,94.4,3,0.004694052104613946,0.06851315278553415,0.05534062795120243,
3201,200,5,166.4,42.1,165.6,2.85,1e-06,25,center,center,True,210.4,3,0.013905675797331728,0.11792232951113088,0.18377628501209753,
3221,200,5,27.5,109.0,106.4,1.84,1e-05,25,center,center,True,97.5,3,0.0014653163583504573,0.03827945086270775,2.6017232992191484,
3213,200,5,103.4,76.4,121.6,4.81,1e-06,80,0.45,0.55,True,135.8,3,0.005807049624238932,0.07620400005405839,0.07963630499568665,
3216,200,5,67.0,73.9,92.7,4.33,1e-06,120,center,center,True,116.0,3,0.015271041736024855,0.12357605648354723,5.970581641153861,
3226,200,5,42.2,73.3,77.7,4.34,1e-05,50,center,center,True,88.2,3,0.025441112530747267,0.15950270383522427,3.9725251207502863,
3212,200,5,29.7,152.0,149.1,2.22,1e-06,80,0.35,0.40,True,138.3,3,0.017543758320918545,0.13245285320036917,7.892237550888463,
3214,200,5,101.7,45.2,104.7,1.82,1e-06,80,0.60,0.45,True,146.70000000000002,3,0.004920796320699711,0.07014838786957055,2.7440678043977123,
3211,200,5,115.1,114.6,155.4,1.47,1e-06,80,center,center,True,149.20000000000002,3,0.003612526320108973,0.06010429535489933,0.05735722099692925,
3215,200,5,120.7,141.2,178.7,2.93,1e-06,80,0.60,0.58,True,145.9,3,0.004191984318448312,0.06474553512365398,0.2542623491635354,
3206,200,5,134.6,153.3,197.0,2.77,1e-06,50,center,center,True,204.8,3,0.007971286052847137,0.0892820589639774,0.21896709505054784,
3219,200,5,81.6,129.0,145.7,4.76,1e-06,120,0.60,0.45,True,133.1,3,0.00445728890406749,0.06676293061323395,0.20703056051934757,
3207,200,5,165.2,102.8,187.7,1.99,1e-06,50,0.35,0.40,True,209.0,3,0.023939878891584904,0.15472517213299491,0.7493662275345009,
3230,200,5,35.4,112.6,111.8,1.6,1e-05,50,0.60,0.58,True,103.5,3,0.014004300650413564,0.11833976783150102,2.5840147449132433,
3210,200,5,109.7,170.4,195.8,3.76,1e-06,50,0.60,0.58,True,171.60000000000002,3,0.005402331069325184,0.07350055148993907,0.26465451423574327,
3234,200,5,61.1,79.1,92.9,3.69,1e-05,80,0.60,0.45,True,93.2,3,0.006176582906981799,0.07859123937807444,0.45138279721130853,
3227,200,5,65.8,157.1,163.8,3.58,1e-05,50,0.35,0.40,True,130.9,3,0.0031337269478173024,0.05597970121229036,0.09694833771557927,
3218,200,5,113.9,40.2,114.4,4.14,1e-06,120,0.45,0.55,True,161.10000000000002,3,0.013226541467840101,0.11500670183880633,0.4247162511303707,
3217,200,5,149.5,143.3,200.1,3.14,1e-06,120,0.35,0.40,True,179.3,3,0.0031306044811894827,0.055951804985983095,0.7136305900419249,
3229,200,5,161.9,130.4,200.9,1.31,1e-05,50,0.60,0.45,True,162.20000000000002,3,0.004652599315598974,0.06820996492887953,3.6364756505357274,
3228,200,5,147.2,74.0,158.0,2.59,1e-05,50,0.45,0.55,True,176.0,3,0.03676283957885093,0.19173638042596644,0.2949583348994548,
3233,200,5,119.8,161.2,193.8,2.17,1e-05,80,0.45,0.55,True,151.4,4,0.00047959522720084313,0.02189966271888321,3.45617802139102,
3243,200,5,85.6,19.8,81.9,2.82,1e-07,25,0.45,0.55,True,97.7,3,5.675653564743774e-08,0.0002382363021192147,9.397569686585351,
3231,200,5,169.6,105.7,193.0,3.54,1e-05,80,center,center,True,190.4,3,0.003914826225641874,0.06256857218797528,0.21664905506559815,
3237,200,5,83.3,40.9,86.2,4.91,1e-05,120,0.35,0.40,True,149.8,3,0.002593407630435418,0.05092551060554443,2.438158269943895,
3244,200,5,96.6,56.5,105.1,1.54,1e-07,25,0.60,0.45,True,119.10000000000001,3,0.003941007338447677,0.06277744291103037,1.956560336340076,
3242,200,5,55.4,70.0,82.3,4.98,1e-07,25,0.35,0.40,True,115.80000000000001,3,0.0036363880506467836,0.06030247134775476,0.19415506980742459,
3245,200,5,58.0,97.2,106.3,4.8,1e-07,25,0.60,0.58,True,114.4,3,0.0029446106648059766,0.05426426692406317,0.9892149273621682,
3235,200,5,164.1,167.5,227.4,2.91,1e-05,80,0.60,0.58,False,173.20000000000002,3,0.020591272089185805,0.14349659260479256,16.5612872190809,vittima non trovata entro 15 minuti
3239,200,5,84.0,19.1,80.2,1.42,1e-05,120,0.60,0.45,True,154.70000000000002,3,0.011271857473778658,0.10616900429870603,0.68508710040303,
3232,200,5,154.9,71.9,164.2,2.14,1e-05,80,0.35,0.40,True,197.8,3,0.01567324931976871,0.125192848516873,0.581203907648939,
3236,200,5,144.9,122.4,182.6,3.47,1e-05,120,center,center,True,179.20000000000002,3,0.0036293621421905425,0.060244187621633194,0.1752508599262764,
3251,200,5,58.3,38.5,62.9,3.6,1e-07,80,center,center,True,108.7,3,0.009111427762491072,0.0954537990993081,1.09578792349101,
3238,200,5,138.8,114.9,173.1,3.86,1e-05,120,0.45,0.55,True,185.0,3,0.004833950472775183,0.0695266170094244,0.09885146734652303,
3250,200,5,128.7,64.9,137.4,3.68,1e-07,50,0.60,0.58,True,143.9,3,0.032227962862246926,0.17952148301038215,4.9018262701348965,
3247,200,5,101.7,49.0,106.2,2.81,1e-07,50,0.35,0.40,True,159.70000000000002,3,0.014115253040245843,0.11880763039571929,1.168679669003778,
3241,200,5,121.5,129.4,170.4,2.79,1e-07,25,center,center,True,169.60000000000002,3,0.007318261962781923,0.08554684075278247,0.09749611310093087,
3255,200,5,30.3,106.0,104.1,2.16,1e-07,80,0.60,0.58,True,121.5,3,0.0037520918388703906,0.06125432098122051,1.040329148897293,
