run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_dist_m,victim_depth_m,artva_noise_std,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
40,100,3,56.1,10.9,51.4,3.04,1e-06,120,0.60,0.58,False,63.2,3,0.006286965328627912,0.07929038610467168,16.455175040179938,vittima non trovata entro 15 minuti
38,100,3,52.1,38.2,57.6,4.74,1e-06,120,0.45,0.55,True,69.9,3,0.0038509377984858257,0.06205592476537455,0.19375816789661232,
70,100,3,10.9,22.0,17.9,1.5,1e-07,50,0.60,0.58,True,0.2,3,0.02695920643386631,0.16419258946087156,5.40062177019075,
49,100,3,16.5,41.2,37.9,2.14,1e-05,50,0.60,0.45,True,48.2,3,0.0022563616457859817,0.04750117520426186,1.063469494334781,
48,100,3,41.5,41.8,51.8,4.11,1e-05,50,0.45,0.55,True,57.7,3,0.0028716772992596657,0.05358803317215202,0.15694170859510184,
42,100,3,37.3,75.9,77.9,1.48,1e-05,25,0.35,0.40,True,67.0,3,0.007250544004372385,0.08515012627337898,0.0905603146168871,
52,100,3,43.6,36.1,49.5,2.96,1e-05,80,0.35,0.40,True,54.800000000000004,3,0.00427302207533503,0.06536835683520759,0.11048689351115992,
39,100,3,62.9,39.1,67.2,4.67,1e-06,120,0.60,0.45,True,85.80000000000001,3,0.005149491281603909,0.07175995597548754,0.09697617951381228,
50,100,3,63.0,54.1,76.0,3.52,1e-05,50,0.60,0.58,True,70.5,3,0.004081696301209409,0.06388815462360303,0.15389183385998567,
54,100,3,44.1,26.1,44.4,2.51,1e-05,80,0.60,0.45,True,57.5,3,0.003385608543539971,0.058185982362936615,4.015005344641114,
59,100,3,37.0,64.6,67.7,1.69,1e-05,120,0.60,0.45,True,55.900000000000006,3,0.0037588128273093003,0.06130915777687131,0.2499033096274355,
57,100,3,65.8,17.8,62.1,3.4,1e-05,120,0.35,0.40,True,65.3,3,0.0012981117547171035,0.03602931798850907,1.9172193183662503,
46,100,3,49.3,67.3,76.5,2.1,1e-05,50,center,center,True,80.0,3,0.004931163380012671,0.07022224277259073,2.364636676772866,
55,100,3,61.7,23.2,59.6,3.47,1e-05,80,0.60,0.58,True,68.2,3,0.0038490259282111996,0.06204051843925226,0.1244496930644717,
53,100,3,17.8,59.5,56.0,4.23,1e-05,80,0.45,0.55,True,71.10000000000001,3,0.0018830537602332591,0.043394167352689916,1.850837157933684,
