run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_dist_m,victim_depth_m,artva_noise_std,acc_sim_ms2,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,n_drones_tracked,pos_variance_m2,pos_std_m,est_error_2d_m,est_error_3d_m,est_depth_m,est_error_depth_m,dcgd_err_final_mean_m,landing_err_mean_m,pf_std_xy_mean_m,note
3018,100,5,91.2,19.9,87.5,4.58,1e-07,0.05,120,0.45,0.55,True,205.4,3,5,0.0040147672243800656,0.0633621908110828,1.6467379397916941,1.7325251054332544,24.906,20.324,1.647,4.725,1.654,
3039,100,5,71.9,47.9,79.5,1.29,1e-07,0.1,120,0.60,0.45,True,112.9,3,5,1.7701609173161525,1.3304739446212965,2.167251553729168,4.324954945473474,-3.316,4.606,2.487,2.201,2.068,
3044,100,5,57.9,55.9,73.4,4.61,1e-06,0.05,25,0.60,0.45,True,112.60000000000001,3,5,12.223137703163264,3.496160422973074,3.2874660456974127,7.071847680852569,10.944,6.337,4.105,8.384,2.308,
3040,100,5,33.8,58.0,60.3,3.65,1e-07,0.1,120,0.60,0.58,True,95.10000000000001,3,5,0.01631930296898784,0.12774702724129372,1.4098283745023257,2.3653319153414367,5.459,1.812,1.413,1.963,1.798,
3045,100,5,64.2,36.9,67.2,3.74,1e-06,0.05,25,0.60,0.58,True,98.30000000000001,3,5,8.42700661835283,2.902930694720911,1.458605450056951,4.948215839046432,8.451,4.708,2.767,2.826,2.215,
3068,100,5,1.1,9.2,5.8,4.56,1e-06,0.1,50,0.45,0.55,True,0.30000000000000004,3,2,0.022200547972800574,0.14899848312248207,4.002473364688698,4.0274622697239675,6.181,1.624,4.005,4.034,3.214,
3037,100,5,89.3,89.5,119.4,2.91,1e-07,0.1,120,0.35,0.40,True,139.9,3,5,0.005965041914022949,0.07723368380456126,0.8269203129079917,1.3659225605304242,4.292,1.38,0.83,3.744,1.627,
3047,100,5,83.6,67.4,100.4,1.24,1e-06,0.05,50,0.35,0.40,True,134.1,3,5,2.167523273421098,1.472251090480526,2.0095903381320506,2.9030930542560847,3.719,2.475,2.28,2.537,2.261,
3060,100,5,3.3,35.0,30.0,2.58,1e-06,0.05,120,0.60,0.58,True,53.800000000000004,3,5,0.01771262004540717,0.13308876754034193,1.396490039751458,1.532790673085439,1.677,0.905,1.399,2.23,1.874,
3050,100,5,71.4,5.6,66.4,4.08,1e-06,0.05,50,0.60,0.58,True,106.5,3,5,0.010134947156562983,0.10067247467189322,1.2483725811196096,4.666921492379745,8.542,4.46,1.251,9.796,1.734,
3048,100,5,45.7,23.2,44.6,3.51,1e-06,0.05,50,0.45,0.55,True,89.5,3,5,0.036361367047975046,0.19068656756042113,0.4645898164061618,1.2184404468301215,4.52,1.012,0.493,5.255,1.82,
3042,100,5,52.9,94.4,101.4,1.05,1e-06,0.05,25,0.35,0.40,True,152.8,3,5,5.3149210880689655,2.3054112622412872,2.025759726413104,2.297275464347013,-0.032,1.083,2.305,10.2,2.052,
3053,100,5,63.7,19.8,60.5,2.31,1e-06,0.05,80,0.45,0.55,True,91.60000000000001,3,5,0.024227442352253173,0.15565166993082077,0.7722259954366428,2.821672850861162,5.312,3.004,0.778,5.727,1.982,
3055,100,5,50.0,54.8,67.1,2.87,1e-06,0.05,80,0.60,0.58,True,100.4,3,5,0.03134725540511897,0.17705156143089779,1.3481201305362576,6.4932156867003155,9.036,6.161,1.357,1.115,1.682,
3077,100,5,1.8,2.0,4.4,4.16,1e-06,0.1,120,0.35,0.40,True,0.2,3,2,0.13079229726420938,0.36165217718715503,3.236065073553506,3.291652901252888,3.667,0.492,3.245,3.232,2.788,
3052,100,5,30.4,77.3,76.6,4.31,1e-06,0.05,80,0.35,0.40,True,101.60000000000001,3,5,0.166208687424064,0.40768699687881144,0.6011264604268907,0.9851537800084931,3.833,0.481,0.608,1.173,1.877,
3051,100,5,88.3,42.2,91.2,3.91,1e-06,0.05,80,center,center,True,137.20000000000002,3,5,0.13444474032212334,0.3666670701360068,0.9290612475236629,1.066109316086413,4.914,1.0,0.984,5.665,1.57,
3049,100,5,99.0,31.1,97.5,2.77,1e-06,0.05,50,0.60,0.45,True,153.4,3,5,0.22346410194959815,0.4727198979835714,0.3746590910244765,1.179060356748345,3.885,1.118,0.585,2.398,1.828,
3056,100,5,60.9,58.9,77.7,4.75,1e-06,0.05,120,center,center,True,106.2,3,5,1.121798761520343,1.0591500184205933,2.247841368253774,3.6150792729972783,0.482,4.264,2.335,3.371,1.725,
3080,100,5,4.8,19.8,14.8,3.89,1e-06,0.1,120,0.60,0.58,True,13.200000000000001,3,3,0.036550639095525354,0.19118221438074556,0.3217363105530711,0.7106730142404675,4.47,0.583,0.352,0.92,1.784,
3058,100,5,15.6,62.1,58.1,2.97,1e-06,0.05,120,0.45,0.55,True,101.2,3,5,0.2035883025232551,0.451207604682429,1.1466970694197425,1.5024098889561863,3.852,0.882,1.207,0.899,2.117,
3057,100,5,91.0,45.7,95.2,4.47,1e-06,0.05,120,0.35,0.40,True,127.7,3,5,0.010324021592969787,0.10160719262419264,0.9666220682435052,1.887146225418071,6.088,1.621,0.972,4.562,1.66,
3064,100,5,65.2,5.4,60.2,3.3,1e-06,0.1,25,0.60,0.45,True,90.4,3,5,42.255468606724016,6.500420648444531,1.779318253881371,10.891900479805484,15.331,12.034,6.14,13.007,4.269,
3061,100,5,50.6,30.5,52.2,2.36,1e-06,0.1,25,center,center,True,106.30000000000001,3,5,12.073975854878473,3.47476270483014,1.6636154037071191,4.930356888141906,8.179,5.82,2.419,13.037,2.341,
3059,100,5,81.1,86.7,111.7,2.21,1e-06,0.05,120,0.60,0.45,True,136.1,3,5,0.0063270469730735334,0.07954273677133276,0.9099740467586173,0.970636721167257,2.232,0.024,0.912,3.017,1.596,
3065,100,5,27.7,63.8,63.0,1.29,1e-06,0.1,25,0.60,0.58,True,110.9,3,5,0.007382108153550493,0.0859191954894277,1.627641473263641,7.828327912278718,-7.043,8.333,1.628,14.107,1.876,
3078,100,5,5.1,48.2,43.2,4.99,1e-06,0.1,120,0.45,0.55,True,92.10000000000001,3,4,0.019035690844990516,0.13796989108131713,0.7302719859546813,1.0921594715432439,6.006,1.012,0.733,1.343,2.127,
3067,100,5,67.8,78.5,96.7,3.14,1e-06,0.1,50,0.35,0.40,True,122.7,3,5,0.018266093536313727,0.13515211258546322,0.7332119704517704,1.0429692088109792,2.598,0.539,0.74,14.822,1.738,
3063,100,5,17.3,61.1,57.5,1.41,1e-06,0.1,25,0.45,0.55,True,116.0,3,5,0.027920883885790226,0.16709543346779476,1.595187419449769,3.878090541531663,5.191,3.781,1.601,13.81,1.876,
3091,100,5,12.4,3.1,7.7,2.95,1e-05,0.05,80,center,center,True,0.2,3,3,0.06447364342953735,0.25391660723461423,7.727373088541167,11.432195751995083,7.22,4.269,7.731,7.753,3.7,
