run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_dist_m,victim_depth_m,artva_noise_std,acc_sim_ms2,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,n_drones_tracked,pos_variance_m2,pos_std_m,est_error_2d_m,est_error_3d_m,est_depth_m,est_error_depth_m,dcgd_err_final_mean_m,landing_err_mean_m,pf_std_xy_mean_m,pf_ellipse_area_mean_m2,pf_iou_mean,note
6262,100,3,87.9,20.0,84.2,4.1,1e-05,0.1,120,center,center,True,175.8,3,3,1.0247400299174958,1.0122944383515577,1.0374181049420783,1.1596593939778879,5.291,1.193,1.049,1.049,2.302,33.578,0.5419,
6263,100,3,98.6,53.4,105.4,1.17,1e-05,0.1,60,0.60,0.45,True,295.2,3,3,0.036957472305506084,0.19224326335532824,2.260247725979614,4.487956179716154,-3.293,4.459,2.263,2.263,2.069,37.877,0.822,
6264,100,3,91.8,6.4,86.8,2.44,1e-05,0.1,120,0.35,0.40,True,145.20000000000002,3,3,0.013415106801440637,0.11582360209145905,0.30987185229174785,0.3863588321426469,2.684,0.246,0.326,0.326,1.699,27.128,0.9209,
6265,100,3,32.8,1.2,28.0,2.68,1e-05,0.1,120,0.60,0.45,True,85.80000000000001,2,2,0.7211905256139027,0.8492293716151736,3.828554628561721,4.287998242470185,7.499,4.815,3.83,3.83,2.824,38.025,0.7182,
6266,100,3,96.3,88.5,123.7,4.1,1e-05,0.1,120,0.35,0.40,True,130.4,3,3,0.049305145824299956,0.22204762062291944,0.7808421983189417,1.1366394192018143,4.73,0.627,0.79,0.79,1.871,31.429,0.8046,
6267,100,3,7.1,47.9,43.0,3.91,1e-05,0.1,120,0.60,0.45,True,106.60000000000001,2,2,0.01967789322115724,0.1402779142315612,8.177981468304843,9.04547954103187,12.69,8.775,8.178,8.178,4.114,74.055,0.7308,
6268,100,3,21.8,52.2,50.1,4.26,1e-05,0.1,120,0.45,0.55,True,111.2,3,3,0.2079430366739016,0.4560077155859335,2.1903473287475728,2.572388937308808,6.038,1.776,2.194,2.194,1.925,20.21,0.7593,
6269,100,3,53.5,51.0,66.8,2.7,1e-05,0.1,120,0.45,0.55,True,124.9,3,3,0.18644048029568439,0.4317875406906554,1.3754904676354158,2.4292731043264415,5.292,2.588,1.379,1.379,1.931,30.036,0.5302,
6270,100,3,56.3,50.9,68.9,2.37,1e-05,0.1,120,0.45,0.55,True,122.2,3,3,0.385002200072516,0.620485455165966,3.448761453755724,4.6244003678224255,6.863,4.493,3.45,3.45,2.616,37.218,0.5077,
6271,100,3,42.8,97.2,99.6,4.79,1e-05,0.1,120,0.45,0.55,True,139.1,3,3,0.1292195370322142,0.3594711908237073,2.23658767618909,3.663353534285495,8.081,3.288,2.237,2.237,1.943,27.624,0.5829,
6272,100,3,80.3,86.4,110.9,3.1,1e-05,0.1,120,0.45,0.55,True,129.70000000000002,3,3,0.07138870647703068,0.2671866510082992,3.5423834189467716,4.215936918324341,6.578,3.48,3.543,3.543,2.537,39.578,0.593,
6273,100,3,69.9,45.5,76.5,2.43,1e-05,0.1,120,0.60,0.45,True,124.7,3,3,0.004633188949904858,0.06806753227424113,3.608910194482102,4.2825784253739325,5.223,2.797,3.609,3.609,2.238,35.852,0.7015,
6274,100,3,76.6,33.1,76.9,3.2,1e-05,0.1,120,0.45,0.55,True,125.5,3,3,0.009474860552017482,0.09733889537085103,1.6106258973624763,2.200632221274035,5.357,2.161,1.612,1.612,2.06,31.368,0.6824,
6275,100,3,2.5,54.7,49.8,3.15,1e-05,0.1,120,0.60,0.45,True,110.5,2,2,0.16053008200060234,0.4006620546053773,8.51006541986678,9.769784439248209,11.999,8.847,8.511,8.511,5.031,90.595,0.7138,
6276,100,3,76.5,86.9,108.7,3.04,1e-05,0.1,120,0.45,0.55,True,131.8,3,3,0.04025776849909623,0.20064338638264714,2.6051622090841864,3.859819255688583,6.789,3.748,2.609,2.609,2.223,36.707,0.6219,
6277,100,3,89.3,10.5,84.5,4.15,1e-05,0.1,120,0.45,0.55,True,146.20000000000002,3,3,0.11288142415279454,0.3359783090510376,1.0209642890646227,1.2714798140595562,5.29,1.142,1.024,1.024,2.3,37.988,0.6388,
6278,100,3,17.0,10.7,13.3,1.34,1e-05,0.1,120,0.60,0.58,True,39.1,3,3,0.05744288981342764,0.23967246361112834,1.9120941693978506,2.6466310045617267,3.253,1.918,1.918,1.918,2.157,32.685,0.5448,
6279,100,3,71.4,65.4,89.7,4.43,1e-05,0.1,120,0.45,0.55,True,130.8,3,3,0.015015194303658178,0.12253650192354186,0.8092760444962104,1.1137979105977813,5.537,1.106,0.812,0.812,1.912,26.128,0.6181,
6280,100,3,63.1,11.6,58.5,3.05,1e-05,0.1,120,0.60,0.45,True,123.7,3,1,0.02754800757249589,0.16597592467733352,2.959078492072377,4.279130587293663,8.028,4.977,2.96,2.96,2.033,32.317,0.67,
6281,100,3,73.8,20.0,70.4,1.47,1e-05,0.1,120,0.45,0.55,True,122.5,3,3,0.33016391599549405,0.5745989175028909,2.045083871726524,3.311761938049617,4.861,3.387,2.046,2.046,1.877,25.863,0.5377,
6282,100,4,5.1,11.6,6.6,1.41,1e-07,0.05,25,center,center,True,25.0,3,1,0.18753301112859083,0.43305081818256713,2.3669769702711148,3.030034517245543,4.965,3.551,2.369,2.369,2.451,25.682,0.774,
6283,100,3,69.5,37.1,72.0,4.37,1e-05,0.1,120,0.60,0.58,True,126.4,3,3,0.4872511540370191,0.6980337771462203,3.8956866606662817,4.227090441151888,7.71,3.342,3.901,3.901,2.989,51.536,0.6477,
6284,100,3,71.2,76.5,97.5,1.63,1e-05,0.1,120,0.60,0.45,True,128.20000000000002,3,3,0.10071102000730794,0.31734999607264525,3.49037275235629,4.656395624977344,5.179,3.549,3.491,3.491,2.647,50.298,0.7077,
6285,100,3,55.9,57.5,73.1,1.32,1e-05,0.1,120,0.60,0.45,True,125.4,3,3,0.018984588290485417,0.13778457203361127,1.6813138526665166,1.733169836948595,0.704,0.616,1.682,1.682,2.175,41.173,0.8949,
6286,100,3,57.8,15.9,53.9,3.62,1e-05,0.1,120,0.60,0.45,True,125.80000000000001,3,1,0.04796133962604676,0.21900077540056054,5.066532771385903,6.120090786601165,9.21,5.588,5.069,5.069,3.315,61.263,0.7716,
6287,100,3,30.6,56.7,57.7,1.08,1e-05,0.1,120,0.60,0.58,True,113.2,3,3,0.03983266562132247,0.19958122562335984,1.083719199383082,2.366889059520123,3.646,2.563,1.087,1.087,1.379,16.469,0.7762,
6288,100,3,37.1,24.5,37.6,1.09,1e-05,0.1,120,0.60,0.58,True,118.5,3,2,0.7982405826313566,0.8934431054249378,2.587987540368095,4.814791250416944,5.824,4.734,2.591,2.591,2.701,49.457,0.449,
6289,100,3,56.7,98.9,107.2,1.34,1e-05,0.1,120,0.60,0.58,True,123.4,3,3,0.09941822006941395,0.31530654936016467,0.9695108454797444,2.7376948959455714,3.971,2.626,0.993,0.993,1.45,17.731,0.7112,
6290,100,3,83.0,7.4,78.0,2.13,1e-05,0.1,120,0.60,0.58,True,162.3,3,3,0.09977083139464041,0.3158652108014436,4.198953814136678,5.380140495056987,6.822,4.696,4.199,4.199,2.559,39.111,0.7075,
6291,100,3,36.5,28.3,39.2,4.53,1e-05,0.1,120,0.60,0.58,True,113.4,3,2,0.3772901624964221,0.6142394992968314,3.318920308676487,4.145129333889676,7.765,3.23,3.321,3.321,2.9,54.96,0.4775,
6292,100,3,9.1,81.5,76.6,2.32,1e-05,0.1,120,0.60,0.58,True,134.3,3,3,0.2134932016047522,0.46205324542172865,1.92427822318219,3.7628343670660076,6.157,3.832,1.931,1.931,2.081,33.37,0.602,
6293,100,3,30.6,98.9,97.3,3.17,1e-05,0.1,120,0.60,0.58,True,139.5,3,3,0.006504171686827211,0.08064844503663546,0.7563605978102954,1.1088917160601788,3.845,0.67,0.759,0.759,1.303,15.092,0.7488,
6294,100,3,76.0,44.2,81.1,3.29,1e-05,0.1,120,0.60,0.58,True,145.5,3,3,0.15648304056257062,0.395579373277438,2.726830381797691,4.292776708943328,7.974,4.687,2.736,2.736,2.373,37.976,0.6787,
6295,100,4,29.1,35.8,39.1,2.72,1e-07,0.05,25,0.35,0.40,True,90.60000000000001,4,4,0.011835330349931944,0.10879030448496751,0.09712160568693508,0.18257162650311667,2.829,0.113,0.124,0.124,1.777,28.134,0.8888,
6296,100,4,18.7,34.3,32.4,4.59,1e-07,0.05,25,0.35,0.40,True,87.4,4,4,0.060590010445582924,0.24615038177013443,1.1762843679923733,2.405060961660217,1.972,2.618,1.178,1.178,1.799,29.588,0.8472,
6297,100,3,85.1,59.0,96.6,4.55,1e-05,0.1,120,0.60,0.45,True,230.70000000000002,3,3,0.12375121154103999,0.3517829039919933,0.6183065287459485,0.6543691523446048,4.178,0.373,0.684,0.684,2.677,44.178,0.5466,
6298,100,4,25.6,54.1,53.3,4.74,1e-07,0.05,25,center,center,True,135.0,4,4,0.03723231882466714,0.19295677968049513,1.4598072143410499,1.7054641461546638,2.86,1.879,1.464,1.464,1.505,17.758,0.6301,
6299,100,3,79.0,43.1,83.3,4.87,1e-05,0.1,120,0.60,0.45,True,262.1,3,3,0.016611809163612008,0.12888680756234133,2.78734972722004,3.861895531882915,1.379,3.495,2.79,2.79,2.495,40.467,0.713,
6300,100,4,72.7,81.1,101.8,2.65,1e-07,0.05,25,center,center,True,152.6,4,4,0.22432760457217416,0.4736323516950401,0.5587923256489511,0.5929993231538562,2.496,0.15,0.701,0.701,1.677,25.488,0.5885,
6301,100,4,47.9,44.5,58.3,4.27,1e-07,0.05,25,center,center,True,135.4,4,4,0.02309984598118563,0.1519863348501622,0.16578369934514794,0.18378224186022152,4.248,0.027,0.188,0.188,1.852,30.984,0.8916,
6302,100,4,1.9,51.0,46.1,4.65,1e-07,0.05,25,center,center,True,127.9,4,4,0.026653813849602703,0.1632599578880342,0.30168662546710556,0.46980637638132716,4.846,0.197,0.313,0.313,1.888,31.754,0.8561,
6303,100,4,27.0,85.0,83.0,3.63,1e-07,0.05,25,center,center,True,151.1,4,4,0.02176065021176574,0.14751491521797291,0.07254129125920977,0.530470853349096,4.2,0.573,0.155,0.155,1.753,28.033,0.8796,
6304,100,4,67.7,4.3,62.7,3.31,1e-07,0.05,25,0.35,0.40,True,131.5,4,4,0.03420534929596669,0.1849468823634686,0.5588469506795608,0.587067622369573,2.965,0.342,0.578,0.578,1.749,28.276,0.863,
6305,100,4,96.9,44.4,100.0,4.01,1e-07,0.05,25,center,center,True,160.0,4,4,0.02028488154869945,0.1424250032427574,0.2768839167549748,0.28117944093144565,3.773,0.236,0.283,0.283,1.797,29.003,0.885,
6306,100,4,41.5,11.4,37.1,1.15,1e-07,0.05,25,0.45,0.55,True,95.2,4,4,0.006459303464566017,0.080369791990312,0.1311470458433431,0.6515420532048676,1.762,0.61,0.143,0.143,1.687,26.244,0.8998,
6307,100,4,60.9,95.9,106.7,2.9,1e-07,0.05,25,0.35,0.40,True,145.3,4,4,0.011094050280489433,0.10532829762456732,0.14805261308589585,0.15599740719231373,2.893,0.011,0.152,0.152,1.752,27.893,0.9018,
6308,100,4,63.0,66.2,84.4,3.6,1e-07,0.05,25,0.35,0.40,True,149.9,4,4,0.022151943357571067,0.1488352893556198,0.04040244534020178,0.23457969592210018,3.817,0.217,0.144,0.144,1.667,25.495,0.8635,
6309,100,4,11.7,64.8,60.2,1.76,1e-07,0.05,25,center,center,True,157.60000000000002,4,4,0.0836922526545248,0.28929613314824104,0.08721155056249134,0.23591347129280232,1.965,0.208,0.273,0.273,1.884,31.111,0.8277,
6310,100,4,13.9,66.0,61.7,3.51,1e-07,0.05,25,0.35,0.40,True,140.20000000000002,4,4,0.018282972915617673,0.13521454402399793,0.7360953972814518,1.189938519188938,2.165,1.34,0.74,0.74,1.813,29.078,0.8863,
