run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_depth_m,artva_noise_std,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
4854,200,5,95.0,95.0,5.0,1e-06,80,0.60,0.45,True,94.2,3,nan,nan,0.6190509990963232,
4855,200,5,95.0,95.0,5.0,1e-06,80,0.60,0.58,True,92.2,3,nan,nan,0.061803262117734736,
4853,200,5,95.0,95.0,5.0,1e-06,80,0.45,0.55,True,95.10000000000001,3,nan,nan,1.2231938858791855,
4851,200,5,95.0,95.0,5.0,1e-06,80,center,center,True,101.5,3,nan,nan,0.41686887446274734,
4852,200,5,95.0,95.0,5.0,1e-06,80,0.35,0.45,True,99.9,3,nan,nan,0.6159505012598451,
4857,200,5,95.0,95.0,5.0,1e-06,120,0.35,0.45,True,91.5,3,nan,nan,0.30408072488032667,
4859,200,5,95.0,95.0,5.0,1e-06,120,0.60,0.45,True,92.2,3,nan,nan,0.349617223162845,
4858,200,5,95.0,95.0,5.0,1e-06,120,0.45,0.55,True,94.2,3,nan,nan,1.1958672192023707,
4856,200,5,95.0,95.0,5.0,1e-06,120,center,center,True,102.80000000000001,3,nan,nan,0.25360275071236615,
4860,200,5,95.0,95.0,5.0,1e-06,120,0.60,0.58,True,93.9,3,nan,nan,0.07856775160124307,
4862,200,5,142.5,95.0,1.0,1e-08,25,0.35,0.45,True,134.0,3,45.77550616970369,6.765759836833087,16.12276514798944,
4863,200,5,142.5,95.0,1.0,1e-08,25,0.45,0.55,True,137.0,3,11.453771412624482,3.3843420945029306,11.760751417260387,
4861,200,5,142.5,95.0,1.0,1e-08,25,center,center,True,154.5,3,5.393863179227331,2.32246919876827,42.875569151897125,
4864,200,5,142.5,95.0,1.0,1e-08,25,0.60,0.45,True,164.9,3,15.387369639527718,3.9226737870396153,16.879369426271168,
4868,200,5,142.5,95.0,1.0,1e-08,50,0.45,0.55,True,140.70000000000002,3,4.191970600460724,2.0474302431244693,7.47543079275825,
4891,200,5,142.5,95.0,1.0,1e-07,80,center,center,True,125.80000000000001,3,0.002909033883302049,0.053935460351257306,21.51165124153867,
4874,200,5,142.5,95.0,1.0,1e-08,80,0.60,0.45,True,138.20000000000002,3,22.758823384626382,4.770620859450726,11.958782414679032,
4892,200,5,142.5,95.0,1.0,1e-07,80,0.35,0.45,True,122.7,3,0.00499187392492237,0.07065319472552087,17.37200119304393,
4879,200,5,142.5,95.0,1.0,1e-08,120,0.60,0.45,True,142.3,3,22.934512374041987,4.788999099398745,11.46706024001622,
4872,200,5,142.5,95.0,1.0,1e-08,80,0.35,0.45,True,149.0,3,5.548554969939623,2.3555370873623755,10.90047506441008,
4873,200,5,142.5,95.0,1.0,1e-08,80,0.45,0.55,True,150.4,3,2.4909695820318736,1.578280577727507,5.851286475866687,
4865,200,5,142.5,95.0,1.0,1e-08,25,0.60,0.58,True,186.8,3,37.0798710804307,6.089324353360618,16.289953797035864,
4877,200,5,142.5,95.0,1.0,1e-08,120,0.35,0.45,True,153.1,3,6.716305244091875,2.591583539863586,7.121710553782572,
4888,200,5,142.5,95.0,1.0,1e-07,50,0.45,0.55,True,152.8,3,0.0024409599390406967,0.04940607188434127,14.031256127726456,
4889,200,5,142.5,95.0,1.0,1e-07,50,0.60,0.45,True,142.1,3,0.0050495966924514885,0.07106051429909221,21.14833771476071,
4878,200,5,142.5,95.0,1.0,1e-08,120,0.45,0.55,True,160.3,3,10.502526651462135,3.2407601965375554,8.858938507522172,
4887,200,5,142.5,95.0,1.0,1e-07,50,0.35,0.45,True,159.70000000000002,3,8.143555866911056e-05,0.00902416526162451,25.09508835061984,
4882,200,5,142.5,95.0,1.0,1e-07,25,0.35,0.45,True,160.20000000000002,3,53.308185207867474,7.301245455938834,26.68342097351372,
4870,200,5,142.5,95.0,1.0,1e-08,50,0.60,0.58,True,176.4,3,4.406524851361698,2.0991724205890514,12.009065653409404,
4890,200,5,142.5,95.0,1.0,1e-07,50,0.60,0.58,True,157.4,3,1.4043657062593374e-07,0.0003747486766166543,28.431677774608612,
4869,200,5,142.5,95.0,1.0,1e-08,50,0.60,0.45,True,185.70000000000002,3,6.763208974809207,2.600617037321952,8.938857361993241,
4867,200,5,142.5,95.0,1.0,1e-08,50,0.35,0.45,True,201.20000000000002,3,49.584387617822664,7.041618252775612,42.30699562726656,
4875,200,5,142.5,95.0,1.0,1e-08,80,0.60,0.58,True,185.9,3,5.466303376891391,2.338012698188654,6.472397137542024,
