run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_dist_m,victim_depth_m,artva_noise_std,acc_sim_ms2,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
2844,100,5,46.6,29.4,48.3,4.93,1e-05,0.05,25,0.60,0.45,True,60.6,3,0.009481426130755494,0.0973726148912285,4.713289417902561,
2825,100,5,37.5,60.8,64.6,1.43,1e-06,0.1,25,0.60,0.58,True,115.7,3,0.04882441634361157,0.22096247722998485,0.7237308853068467,
2832,100,5,41.4,32.5,45.6,1.23,1e-06,0.1,80,0.35,0.40,True,84.60000000000001,3,0.05987694609940918,0.24469766263577014,0.4482382431141773,
2830,100,5,37.8,73.1,75.5,1.95,1e-06,0.1,50,0.60,0.58,True,104.60000000000001,3,0.05412119040121086,0.23263961485785448,1.0491370333914976,
2828,100,5,75.0,54.7,85.8,4.2,1e-06,0.1,50,0.45,0.55,True,123.60000000000001,3,0.02999095653749743,0.1731789725616174,0.8486235995057368,
2834,100,5,52.9,27.8,53.1,3.55,1e-06,0.1,80,0.60,0.45,True,86.7,3,0.0049842359275979395,0.07059912129480041,3.029938289356766,
2829,100,5,69.8,72.2,93.4,1.14,1e-06,0.1,50,0.60,0.45,True,121.80000000000001,3,0.013712698071375793,0.11710123001649382,0.7550902219167784,
2851,100,5,35.0,25.0,36.0,1.2,1e-05,0.05,80,center,center,True,52.5,3,0.037289872016244216,0.1931058570221116,2.515187343989651,
2854,100,5,25.8,9.3,21.3,1.79,1e-05,0.05,80,0.60,0.45,True,32.300000000000004,3,0.0018987351744724963,0.04357447847619632,2.6110453943108967,
2841,100,5,58.7,76.2,89.2,2.71,1e-05,0.05,25,center,center,True,87.7,3,0.011848615850602187,0.10885134749098051,0.9437235391132794,
2833,100,5,26.6,58.7,57.9,1.7,1e-06,0.1,80,0.45,0.55,True,95.5,3,0.01188914369275133,0.10903734998958536,0.5605330970331432,
2843,100,5,25.9,51.2,50.7,4.54,1e-05,0.05,25,0.45,0.55,True,74.5,3,0.041110014167035684,0.20275604594446914,1.7337089920355981,
2838,100,5,50.1,12.1,45.7,1.46,1e-06,0.1,120,0.45,0.55,True,86.9,3,0.03214426591604347,0.1792882202378156,1.0185053360731562,
2839,100,5,19.8,47.9,45.4,2.54,1e-06,0.1,120,0.60,0.45,True,82.7,3,0.031633309385670855,0.1778575536368103,1.4036803576593229,
2845,100,5,60.6,34.0,62.7,3.57,1e-05,0.05,25,0.60,0.58,True,89.9,3,0.05583915539393172,0.23630310068624094,0.49588314454973953,
2837,100,5,43.2,58.8,66.0,3.59,1e-06,0.1,120,0.35,0.40,True,100.5,3,0.0017265278260097266,0.04155150810752513,1.2241439789263102,
2853,100,5,24.3,33.5,34.4,4.47,1e-05,0.05,80,0.45,0.55,True,52.900000000000006,3,0.04365001441394015,0.20892585865311203,1.4073229450457765,
2852,100,5,15.8,47.9,44.2,2.97,1e-05,0.05,80,0.35,0.40,True,60.2,3,0.028081500854916862,0.16757535873426277,1.309460416654334,
2581,100,5,67.6,61.3,84.2,2.23,1e-06,0.1,25,center,center,False,900.0,0,0.33281464900931707,0.576900900510059,1.2389611419622324,vittima non trovata entro 15 minuti
2850,100,5,40.5,78.8,81.9,4.8,1e-05,0.05,50,0.60,0.58,True,76.3,3,0.01639467414020915,0.12804168907121286,0.7547844587045763,
2866,100,5,17.9,20.3,20.1,2.12,1e-05,0.1,50,center,center,True,30.3,3,0.03860048460713909,0.19647006033271097,2.1292204459519937,
2846,100,5,78.1,62.2,92.8,3.04,1e-05,0.05,50,center,center,True,104.7,3,0.08352451838861606,0.289006087113431,0.734361392456811,
2835,100,5,78.1,66.4,95.5,1.57,1e-06,0.1,80,0.60,0.58,True,128.4,3,0.05746863945884684,0.23972617599846463,0.9475725267398938,
2848,100,5,51.4,57.1,69.8,4.59,1e-05,0.05,50,0.45,0.55,True,92.0,3,0.04562212673753774,0.21359336772834905,1.6191584156337215,
