run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_dist_m,victim_depth_m,artva_noise_std,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note,noise_detect_factor
1520,100,4,46.5,76.3,,1.0,1e-07,120,0.60,0.58,True,96.30000000000001,3,0.6466047972078202,0.8041174026271414,0.5703958141728918,,100.0
1519,100,4,41.5,79.1,,1.0,1e-07,120,0.60,0.45,True,100.9,3,0.48735863882294556,0.698110764007364,0.9460568779353415,,100.0
1541,100,4,22.6,11.5,,1.0,1e-06,25,center,center,True,37.1,3,0.0756626812231026,0.2750685027826752,5.138293592995208,,100.0
1431,100,4,39.9,75.4,,5.0,1e-06,80,center,center,True,369.90000000000003,3,0.00033291092066433926,0.01824584666888164,23.790969916197962,,100.0
1516,100,4,77.2,73.8,,1.0,1e-07,120,center,center,True,123.80000000000001,3,0.000954309458143545,0.030891899555442442,28.00651209764181,,100.0
1518,100,4,79.4,78.9,,1.0,1e-07,120,0.45,0.55,True,131.3,3,0.00020903187707891187,0.014457934744593084,46.6656603457449,,100.0
1550,100,4,41.2,25.1,,1.0,1e-06,50,0.60,0.58,True,54.400000000000006,3,5.0560502351943576e-05,0.007110590858145586,0.38214393422040577,,100.0
1553,100,4,34.9,13.0,,1.0,1e-06,80,0.45,0.55,True,35.4,3,0.006313526098286951,0.07945770005661472,7.40705027346413,,100.0
1543,100,4,77.1,36.3,,1.0,1e-06,25,0.45,0.55,True,78.4,3,nan,nan,12.475281971518399,,100.0
1551,100,4,70.1,37.4,,1.0,1e-06,80,center,center,True,65.9,3,0.0011966288006378465,0.0345923228569266,6.258601713481348,,100.0
1544,100,4,80.9,69.1,,1.0,1e-06,25,0.60,0.45,True,81.2,3,nan,nan,27.386551528403963,,100.0
1548,100,4,21.6,74.0,,1.0,1e-06,50,0.45,0.55,True,73.60000000000001,3,0.004948405398995798,0.07034490314867026,24.261351432900845,,100.0
