run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_depth_m,artva_noise_std,noise_detect_factor,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
20,100,3,39.5,15.0,1.0,1e-08,50.0,120,0.60,0.58,True,0.2,3,5.995633793217613e-06,0.00244859833235621,30.27643721738239,
3,100,3,39.5,15.0,1.0,1e-08,50.0,25,0.45,0.55,True,0.2,3,6.005524684446782e-06,0.002450617204796943,30.276234267666585,
1,100,3,39.5,15.0,1.0,1e-08,50.0,25,center,center,True,0.2,3,6.00358106662145e-06,0.0024502206159081777,30.276274223837685,
22,100,3,39.5,15.0,1.0,1e-08,100.0,25,0.35,0.45,True,0.2,3,6.0055270853217635e-06,0.0024506176946479767,30.27623422152364,
10,100,3,39.5,15.0,1.0,1e-08,50.0,50,0.60,0.58,True,0.2,3,5.995633793217613e-06,0.00244859833235621,30.27643721738239,
6,100,3,39.5,15.0,1.0,1e-08,50.0,50,center,center,True,0.2,3,6.00358106662145e-06,0.0024502206159081777,30.276274223837685,
19,100,3,39.5,15.0,1.0,1e-08,50.0,120,0.60,0.45,True,0.2,3,5.839421427182257e-06,0.0024164894841861525,30.28198056788967,
18,100,3,39.5,15.0,1.0,1e-08,50.0,120,0.45,0.55,True,0.2,3,6.005524684446782e-06,0.002450617204796943,30.276234267666585,
33,100,3,39.5,15.0,1.0,1e-08,100.0,80,0.45,0.55,True,0.2,3,6.005524684446782e-06,0.002450617204796943,30.276234267666585,
21,100,3,39.5,15.0,1.0,1e-08,100.0,25,center,center,True,0.2,3,6.00358106662145e-06,0.0024502206159081777,30.276274223837685,
35,100,3,39.5,15.0,1.0,1e-08,100.0,80,0.60,0.58,True,0.2,3,5.995633793217613e-06,0.00244859833235621,30.27643721738239,
37,100,3,39.5,15.0,1.0,1e-08,100.0,120,0.35,0.45,True,0.2,3,6.0055270853217635e-06,0.0024506176946479767,30.27623422152364,
34,100,3,39.5,15.0,1.0,1e-08,100.0,80,0.60,0.45,True,0.2,3,5.839421427182257e-06,0.0024164894841861525,30.28198056788967,
25,100,3,39.5,15.0,1.0,1e-08,100.0,25,0.60,0.58,True,0.2,3,5.995633793217613e-06,0.00244859833235621,30.27643721738239,
7,100,3,39.5,15.0,1.0,1e-08,50.0,50,0.35,0.45,True,0.2,3,6.0055270853217635e-06,0.0024506176946479767,30.27623422152364,
38,100,3,39.5,15.0,1.0,1e-08,100.0,120,0.45,0.55,True,0.2,3,6.005524684446782e-06,0.002450617204796943,30.276234267666585,
36,100,3,39.5,15.0,1.0,1e-08,100.0,120,center,center,True,0.2,3,6.00358106662145e-06,0.0024502206159081777,30.276274223837685,
17,100,3,39.5,15.0,1.0,1e-08,50.0,120,0.35,0.45,True,0.2,3,6.0055270853217635e-06,0.0024506176946479767,30.27623422152364,
39,100,3,39.5,15.0,1.0,1e-08,100.0,120,0.60,0.45,True,0.2,3,5.839421427182257e-06,0.0024164894841861525,30.28198056788967,
11,100,3,39.5,15.0,1.0,1e-08,50.0,80,center,center,True,0.2,3,6.00358106662145e-06,0.0024502206159081777,30.276274223837685,
27,100,3,39.5,15.0,1.0,1e-08,100.0,50,0.35,0.45,True,0.2,3,6.0055270853217635e-06,0.0024506176946479767,30.27623422152364,
28,100,3,39.5,15.0,1.0,1e-08,100.0,50,0.45,0.55,True,0.2,3,6.005524684446782e-06,0.002450617204796943,30.276234267666585,
12,100,3,39.5,15.0,1.0,1e-08,50.0,80,0.35,0.45,True,0.2,3,6.0055270853217635e-06,0.0024506176946479767,30.27623422152364,
13,100,3,39.5,15.0,1.0,1e-08,50.0,80,0.45,0.55,True,0.2,3,6.005524684446782e-06,0.002450617204796943,30.276234267666585,
5,100,3,39.5,15.0,1.0,1e-08,50.0,25,0.60,0.58,True,0.2,3,5.995633793217613e-06,0.00244859833235621,30.27643721738239,
2,100,3,39.5,15.0,1.0,1e-08,50.0,25,0.35,0.45,True,0.2,3,6.0055270853217635e-06,0.0024506176946479767,30.27623422152364,
24,100,3,39.5,15.0,1.0,1e-08,100.0,25,0.60,0.45,True,0.2,3,5.839421427182257e-06,0.0024164894841861525,30.28198056788967,
30,100,3,39.5,15.0,1.0,1e-08,100.0,50,0.60,0.58,True,0.2,3,5.995633793217613e-06,0.00244859833235621,30.27643721738239,
15,100,3,39.5,15.0,1.0,1e-08,50.0,80,0.60,0.58,True,0.2,3,5.995633793217613e-06,0.00244859833235621,30.27643721738239,
26,100,3,39.5,15.0,1.0,1e-08,100.0,50,center,center,True,0.2,3,6.00358106662145e-06,0.0024502206159081777,30.276274223837685,
32,100,3,39.5,15.0,1.0,1e-08,100.0,80,0.35,0.45,True,0.2,3,6.0055270853217635e-06,0.0024506176946479767,30.27623422152364,
9,100,3,39.5,15.0,1.0,1e-08,50.0,50,0.60,0.45,True,0.2,3,5.839421427182257e-06,0.0024164894841861525,30.28198056788967,
29,100,3,39.5,15.0,1.0,1e-08,100.0,50,0.60,0.45,True,0.2,3,5.839421427182257e-06,0.0024164894841861525,30.28198056788967,
4,100,3,39.5,15.0,1.0,1e-08,50.0,25,0.60,0.45,True,0.2,3,5.839421427182257e-06,0.0024164894841861525,30.28198056788967,
8,100,3,39.5,15.0,1.0,1e-08,50.0,50,0.45,0.55,True,0.2,3,6.005524684446782e-06,0.002450617204796943,30.276234267666585,
40,100,3,39.5,15.0,1.0,1e-08,100.0,120,0.60,0.58,True,0.2,3,5.995633793217613e-06,0.00244859833235621,30.27643721738239,
16,100,3,39.5,15.0,1.0,1e-08,50.0,120,center,center,True,0.2,3,6.00358106662145e-06,0.0024502206159081777,30.276274223837685,
31,100,3,39.5,15.0,1.0,1e-08,100.0,80,center,center,True,0.2,3,6.00358106662145e-06,0.0024502206159081777,30.276274223837685,
23,100,3,39.5,15.0,1.0,1e-08,100.0,25,0.45,0.55,True,0.2,3,6.005524684446782e-06,0.002450617204796943,30.276234267666585,
14,100,3,39.5,15.0,1.0,1e-08,50.0,80,0.60,0.45,True,0.2,3,5.839421427182257e-06,0.0024164894841861525,30.28198056788967,
42,100,3,39.5,15.0,1.0,1e-07,50.0,25,0.35,0.45,True,54.800000000000004,3,0.028059671143043745,0.167510212055993,14.881875856709684,
50,100,3,39.5,15.0,1.0,1e-07,50.0,50,0.60,0.58,True,54.6,3,0.03335726189720989,0.18263970514981098,14.738035701182453,
45,100,3,39.5,15.0,1.0,1e-07,50.0,25,0.60,0.58,True,54.6,3,0.03335726189720989,0.18263970514981098,14.738035701182453,
47,100,3,39.5,15.0,1.0,1e-07,50.0,50,0.35,0.45,True,54.800000000000004,3,0.028059671143043745,0.167510212055993,14.881875856709684,
55,100,3,39.5,15.0,1.0,1e-07,50.0,80,0.60,0.58,True,54.6,3,0.03335726189720989,0.18263970514981098,14.738035701182453,
52,100,3,39.5,15.0,1.0,1e-07,50.0,80,0.35,0.45,True,54.800000000000004,3,0.028059671143043745,0.167510212055993,14.881875856709684,
65,100,3,39.5,15.0,1.0,1e-07,100.0,25,0.60,0.58,True,54.6,3,0.03335726189720989,0.18263970514981098,14.738035701182453,
70,100,3,39.5,15.0,1.0,1e-07,100.0,50,0.60,0.58,True,54.6,3,0.03335726189720989,0.18263970514981098,14.738035701182453,
60,100,3,39.5,15.0,1.0,1e-07,50.0,120,0.60,0.58,True,54.6,3,0.03335726189720989,0.18263970514981098,14.738035701182453,
62,100,3,39.5,15.0,1.0,1e-07,100.0,25,0.35,0.45,True,54.800000000000004,3,0.028059671143043745,0.167510212055993,14.881875856709684,
57,100,3,39.5,15.0,1.0,1e-07,50.0,120,0.35,0.45,True,54.800000000000004,3,0.028059671143043745,0.167510212055993,14.881875856709684,
67,100,3,39.5,15.0,1.0,1e-07,100.0,50,0.35,0.45,True,54.800000000000004,3,0.028059671143043745,0.167510212055993,14.881875856709684,
72,100,3,39.5,15.0,1.0,1e-07,100.0,80,0.35,0.45,True,54.800000000000004,3,0.028059671143043745,0.167510212055993,14.881875856709684,
54,100,3,39.5,15.0,1.0,1e-07,50.0,80,0.60,0.45,True,67.9,3,0.028592862145094183,0.1690942404255514,15.49555922931212,
49,100,3,39.5,15.0,1.0,1e-07,50.0,50,0.60,0.45,True,67.9,3,0.028592862145094183,0.1690942404255514,15.49555922931212,
64,100,3,39.5,15.0,1.0,1e-07,100.0,25,0.60,0.45,True,67.9,3,0.028592862145094183,0.1690942404255514,15.49555922931212,
59,100,3,39.5,15.0,1.0,1e-07,50.0,120,0.60,0.45,True,67.9,3,0.028592862145094183,0.1690942404255514,15.49555922931212,
43,100,3,39.5,15.0,1.0,1e-07,50.0,25,0.45,0.55,True,71.0,3,0.03551651500864965,0.18845825800067678,14.865201287892864,
44,100,3,39.5,15.0,1.0,1e-07,50.0,25,0.60,0.45,True,67.9,3,0.028592862145094183,0.1690942404255514,15.49555922931212,
69,100,3,39.5,15.0,1.0,1e-07,100.0,50,0.60,0.45,True,67.9,3,0.028592862145094183,0.1690942404255514,15.49555922931212,
41,100,3,39.5,15.0,1.0,1e-07,50.0,25,center,center,True,72.0,3,0.0354301884114175,0.18822908492424198,14.811512880136716,
48,100,3,39.5,15.0,1.0,1e-07,50.0,50,0.45,0.55,True,71.0,3,0.03551651500864965,0.18845825800067678,14.865201287892864,
51,100,3,39.5,15.0,1.0,1e-07,50.0,80,center,center,True,71.5,3,0.0354301884114175,0.18822908492424198,14.811512880136716,
63,100,3,39.5,15.0,1.0,1e-07,100.0,25,0.45,0.55,True,71.0,3,0.03551651500864965,0.18845825800067678,14.865201287892864,
68,100,3,39.5,15.0,1.0,1e-07,100.0,50,0.45,0.55,True,71.0,3,0.03551651500864965,0.18845825800067678,14.865201287892864,
46,100,3,39.5,15.0,1.0,1e-07,50.0,50,center,center,True,71.5,3,0.0354301884114175,0.18822908492424198,14.811512880136716,
53,100,3,39.5,15.0,1.0,1e-07,50.0,80,0.45,0.55,True,71.0,3,0.03551651500864965,0.18845825800067678,14.865201287892864,
56,100,3,39.5,15.0,1.0,1e-07,50.0,120,center,center,True,71.5,3,0.0354301884114175,0.18822908492424198,14.811512880136716,
58,100,3,39.5,15.0,1.0,1e-07,50.0,120,0.45,0.55,True,71.0,3,0.03551651500864965,0.18845825800067678,14.865201287892864,
71,100,3,39.5,15.0,1.0,1e-07,100.0,80,center,center,True,71.5,3,0.0354301884114175,0.18822908492424198,14.811512880136716,
61,100,3,39.5,15.0,1.0,1e-07,100.0,25,center,center,True,72.0,3,0.0354301884114175,0.18822908492424198,14.811512880136716,
66,100,3,39.5,15.0,1.0,1e-07,100.0,50,center,center,True,71.5,3,0.0354301884114175,0.18822908492424198,14.811512880136716,
75,100,3,39.5,15.0,1.0,1e-07,100.0,80,0.60,0.58,True,54.6,3,0.03335726189720989,0.18263970514981098,14.738035701182453,
77,100,3,39.5,15.0,1.0,1e-07,100.0,120,0.35,0.45,True,54.800000000000004,3,0.028059671143043745,0.167510212055993,14.881875856709684,
80,100,3,39.5,15.0,1.0,1e-07,100.0,120,0.60,0.58,True,54.6,3,0.03335726189720989,0.18263970514981098,14.738035701182453,
82,100,3,39.5,15.0,1.0,1e-06,50.0,25,0.35,0.45,True,58.6,3,2.8980830722549042e-06,0.0017023757141873541,8.872734618841074,
85,100,3,39.5,15.0,1.0,1e-06,50.0,25,0.60,0.58,True,59.800000000000004,3,1.9143397007680213e-06,0.0013835966539306249,9.022523756151038,
84,100,3,39.5,15.0,1.0,1e-06,50.0,25,0.60,0.45,True,62.7,3,6.542035862421776e-07,0.0008088285270946974,10.381889341695427,
87,100,3,39.5,15.0,1.0,1e-06,50.0,50,0.35,0.45,True,57.7,3,0.00014489827889454702,0.012037370098761067,8.75999696215815,
74,100,3,39.5,15.0,1.0,1e-07,100.0,80,0.60,0.45,True,67.9,3,0.028592862145094183,0.1690942404255514,15.49555922931212,
83,100,3,39.5,15.0,1.0,1e-06,50.0,25,0.45,0.55,True,66.60000000000001,3,0.006767975352386018,0.08226770540367598,3.067992691982811,
92,100,3,39.5,15.0,1.0,1e-06,50.0,80,0.35,0.45,True,58.6,3,0.0025401431005631562,0.05039983234657786,9.129571524701086,
90,100,3,39.5,15.0,1.0,1e-06,50.0,50,0.60,0.58,True,59.400000000000006,3,0.0028281186816975796,0.053180059060681566,9.468747867018305,
97,100,3,39.5,15.0,1.0,1e-06,50.0,120,0.35,0.45,True,58.0,3,0.00519017224325204,0.07204285004948124,8.435461230811187,
79,100,3,39.5,15.0,1.0,1e-07,100.0,120,0.60,0.45,True,67.9,3,0.028592862145094183,0.1690942404255514,15.49555922931212,
73,100,3,39.5,15.0,1.0,1e-07,100.0,80,0.45,0.55,True,71.0,3,0.03551651500864965,0.18845825800067678,14.865201287892864,
95,100,3,39.5,15.0,1.0,1e-06,50.0,80,0.60,0.58,True,59.300000000000004,3,0.004059491939947542,0.06371414238571796,8.743293311906752,
88,100,3,39.5,15.0,1.0,1e-06,50.0,50,0.45,0.55,True,60.1,3,0.00021182082070957603,0.014554065435800954,10.07067729416071,
91,100,3,39.5,15.0,1.0,1e-06,50.0,80,center,center,True,59.800000000000004,3,8.207260832101426e-06,0.0028648317284094412,8.97354037755678,
86,100,3,39.5,15.0,1.0,1e-06,50.0,50,center,center,True,61.6,3,2.1682910210327073e-06,0.0014725118067549431,9.3926409480404,
100,100,3,39.5,15.0,1.0,1e-06,50.0,120,0.60,0.58,True,60.0,3,6.122498695565253e-07,0.0007824639733281816,9.03079250735254,
89,100,3,39.5,15.0,1.0,1e-06,50.0,50,0.60,0.45,True,60.800000000000004,3,1.7414477575666293e-06,0.001319639252813673,9.901350248601618,
76,100,3,39.5,15.0,1.0,1e-07,100.0,120,center,center,True,71.5,3,0.0354301884114175,0.18822908492424198,14.811512880136716,
78,100,3,39.5,15.0,1.0,1e-07,100.0,120,0.45,0.55,True,71.0,3,0.03551651500864965,0.18845825800067678,14.865201287892864,
121,100,3,39.5,15.0,3.0,1e-08,50.0,25,center,center,True,0.2,3,6.00358106662145e-06,0.0024502206159081777,30.276274223837685,
122,100,3,39.5,15.0,3.0,1e-08,50.0,25,0.35,0.45,True,0.2,3,6.0055270853217635e-06,0.0024506176946479767,30.27623422152364,
96,100,3,39.5,15.0,1.0,1e-06,50.0,120,center,center,True,60.400000000000006,3,1.0022620694983794e-06,0.0010011303958517989,8.956767807402091,
123,100,3,39.5,15.0,3.0,1e-08,50.0,25,0.45,0.55,True,0.2,3,6.005524684446782e-06,0.002450617204796943,30.276234267666585,
94,100,3,39.5,15.0,1.0,1e-06,50.0,80,0.60,0.45,True,61.300000000000004,3,1.074239389084506e-07,0.0003277559136132415,10.548316190501682,
101,100,3,39.5,15.0,1.0,1e-06,100.0,25,center,center,True,58.1,3,0.0027257969013528846,0.05220916491721434,5.574299528005201,
124,100,3,39.5,15.0,3.0,1e-08,50.0,25,0.60,0.45,True,0.2,3,5.839421427182257e-06,0.0024164894841861525,30.28198056788967,
125,100,3,39.5,15.0,3.0,1e-08,50.0,25,0.60,0.58,True,0.2,3,5.995633793217613e-06,0.00244859833235621,30.27643721738239,
126,100,3,39.5,15.0,3.0,1e-08,50.0,50,center,center,True,0.2,3,6.00358106662145e-06,0.0024502206159081777,30.276274223837685,
127,100,3,39.5,15.0,3.0,1e-08,50.0,50,0.35,0.45,True,0.2,3,6.0055270853217635e-06,0.0024506176946479767,30.27623422152364,
128,100,3,39.5,15.0,3.0,1e-08,50.0,50,0.45,0.55,True,0.2,3,6.005524684446782e-06,0.002450617204796943,30.276234267666585,
130,100,3,39.5,15.0,3.0,1e-08,50.0,50,0.60,0.58,True,0.2,3,5.995633793217613e-06,0.00244859833235621,30.27643721738239,
129,100,3,39.5,15.0,3.0,1e-08,50.0,50,0.60,0.45,True,0.2,3,5.839421427182257e-06,0.0024164894841861525,30.28198056788967,
131,100,3,39.5,15.0,3.0,1e-08,50.0,80,center,center,True,0.2,3,6.00358106662145e-06,0.0024502206159081777,30.276274223837685,
132,100,3,39.5,15.0,3.0,1e-08,50.0,80,0.35,0.45,True,0.2,3,6.0055270853217635e-06,0.0024506176946479767,30.27623422152364,
133,100,3,39.5,15.0,3.0,1e-08,50.0,80,0.45,0.55,True,0.2,3,6.005524684446782e-06,0.002450617204796943,30.276234267666585,
99,100,3,39.5,15.0,1.0,1e-06,50.0,120,0.60,0.45,True,61.6,3,1.0773710864276432e-06,0.0010379648772610966,10.277561312929363,
134,100,3,39.5,15.0,3.0,1e-08,50.0,80,0.60,0.45,True,0.2,3,5.839421427182257e-06,0.0024164894841861525,30.28198056788967,
135,100,3,39.5,15.0,3.0,1e-08,50.0,80,0.60,0.58,True,0.2,3,5.995633793217613e-06,0.00244859833235621,30.27643721738239,
136,100,3,39.5,15.0,3.0,1e-08,50.0,120,center,center,True,0.2,3,6.00358106662145e-06,0.0024502206159081777,30.276274223837685,
137,100,3,39.5,15.0,3.0,1e-08,50.0,120,0.35,0.45,True,0.2,3,6.0055270853217635e-06,0.0024506176946479767,30.27623422152364,
102,100,3,39.5,15.0,1.0,1e-06,100.0,25,0.35,0.45,True,59.0,3,5.699741999150982e-06,0.0023874132443192533,6.656792538609317,
138,100,3,39.5,15.0,3.0,1e-08,50.0,120,0.45,0.55,True,0.2,3,6.005524684446782e-06,0.002450617204796943,30.276234267666585,
139,100,3,39.5,15.0,3.0,1e-08,50.0,120,0.60,0.45,True,0.2,3,5.839421427182257e-06,0.0024164894841861525,30.28198056788967,
140,100,3,39.5,15.0,3.0,1e-08,50.0,120,0.60,0.58,True,0.2,3,5.995633793217613e-06,0.00244859833235621,30.27643721738239,
141,100,3,39.5,15.0,3.0,1e-08,100.0,25,center,center,True,0.2,3,6.00358106662145e-06,0.0024502206159081777,30.276274223837685,
81,100,3,39.5,15.0,1.0,1e-06,50.0,25,center,center,True,75.0,3,0.00014026805655498466,0.011843481606140344,9.599597889786283,
142,100,3,39.5,15.0,3.0,1e-08,100.0,25,0.35,0.45,True,0.2,3,6.0055270853217635e-06,0.0024506176946479767,30.27623422152364,
143,100,3,39.5,15.0,3.0,1e-08,100.0,25,0.45,0.55,True,0.2,3,6.005524684446782e-06,0.002450617204796943,30.276234267666585,
144,100,3,39.5,15.0,3.0,1e-08,100.0,25,0.60,0.45,True,0.2,3,5.839421427182257e-06,0.0024164894841861525,30.28198056788967,
145,100,3,39.5,15.0,3.0,1e-08,100.0,25,0.60,0.58,True,0.2,3,5.995633793217613e-06,0.00244859833235621,30.27643721738239,
146,100,3,39.5,15.0,3.0,1e-08,100.0,50,center,center,True,0.2,3,6.00358106662145e-06,0.0024502206159081777,30.276274223837685,
147,100,3,39.5,15.0,3.0,1e-08,100.0,50,0.35,0.45,True,0.2,3,6.0055270853217635e-06,0.0024506176946479767,30.27623422152364,
148,100,3,39.5,15.0,3.0,1e-08,100.0,50,0.45,0.55,True,0.2,3,6.005524684446782e-06,0.002450617204796943,30.276234267666585,
150,100,3,39.5,15.0,3.0,1e-08,100.0,50,0.60,0.58,True,0.2,3,5.995633793217613e-06,0.00244859833235621,30.27643721738239,
149,100,3,39.5,15.0,3.0,1e-08,100.0,50,0.60,0.45,True,0.2,3,5.839421427182257e-06,0.0024164894841861525,30.28198056788967,
151,100,3,39.5,15.0,3.0,1e-08,100.0,80,center,center,True,0.2,3,6.00358106662145e-06,0.0024502206159081777,30.276274223837685,
152,100,3,39.5,15.0,3.0,1e-08,100.0,80,0.35,0.45,True,0.2,3,6.0055270853217635e-06,0.0024506176946479767,30.27623422152364,
153,100,3,39.5,15.0,3.0,1e-08,100.0,80,0.45,0.55,True,0.2,3,6.005524684446782e-06,0.002450617204796943,30.276234267666585,
154,100,3,39.5,15.0,3.0,1e-08,100.0,80,0.60,0.45,True,0.2,3,5.839421427182257e-06,0.0024164894841861525,30.28198056788967,
155,100,3,39.5,15.0,3.0,1e-08,100.0,80,0.60,0.58,True,0.2,3,5.995633793217613e-06,0.00244859833235621,30.27643721738239,
156,100,3,39.5,15.0,3.0,1e-08,100.0,120,center,center,True,0.2,3,6.00358106662145e-06,0.0024502206159081777,30.276274223837685,
157,100,3,39.5,15.0,3.0,1e-08,100.0,120,0.35,0.45,True,0.2,3,6.0055270853217635e-06,0.0024506176946479767,30.27623422152364,
103,100,3,39.5,15.0,1.0,1e-06,100.0,25,0.45,0.55,True,60.2,3,1.3328069101414932e-07,0.0003650762810895133,6.056915089262581,
158,100,3,39.5,15.0,3.0,1e-08,100.0,120,0.45,0.55,True,0.2,3,6.005524684446782e-06,0.002450617204796943,30.276234267666585,
160,100,3,39.5,15.0,3.0,1e-08,100.0,120,0.60,0.58,True,0.2,3,5.995633793217613e-06,0.00244859833235621,30.27643721738239,
159,100,3,39.5,15.0,3.0,1e-08,100.0,120,0.60,0.45,True,0.2,3,5.839421427182257e-06,0.0024164894841861525,30.28198056788967,
104,100,3,39.5,15.0,1.0,1e-06,100.0,25,0.60,0.45,True,61.5,3,1.9669896458947366e-07,0.0004435075699348024,7.168590052507565,
93,100,3,39.5,15.0,1.0,1e-06,50.0,80,0.45,0.55,True,66.9,3,0.011124713249820024,0.10547375621366684,2.8124703367754593,
98,100,3,39.5,15.0,1.0,1e-06,50.0,120,0.45,0.55,True,67.10000000000001,3,0.007162741966425897,0.0846329839154091,2.0222646371669617,
105,100,3,39.5,15.0,1.0,1e-06,100.0,25,0.60,0.58,True,60.0,3,1.7174288991639381e-06,0.0013105071152664292,5.6222871935487575,
106,100,3,39.5,15.0,1.0,1e-06,100.0,50,center,center,True,60.5,3,4.0191794945399606e-06,0.0020047891396702947,5.745688294937772,
107,100,3,39.5,15.0,1.0,1e-06,100.0,50,0.35,0.45,True,59.5,3,0.0039021059012328352,0.06246683841233551,7.997794605896088,
108,100,3,39.5,15.0,1.0,1e-06,100.0,50,0.45,0.55,True,58.400000000000006,3,9.897222860297551e-05,0.009948478707972165,6.168665486644804,
109,100,3,39.5,15.0,1.0,1e-06,100.0,50,0.60,0.45,True,60.5,3,5.417559417500023e-08,0.0002327565126371338,9.058770827618167,
110,100,3,39.5,15.0,1.0,1e-06,100.0,50,0.60,0.58,True,59.7,3,7.471722684852492e-07,0.000864391270481863,5.8886076698673335,
115,100,3,39.5,15.0,1.0,1e-06,100.0,80,0.60,0.58,True,59.400000000000006,3,7.577476006731196e-07,0.0008704869905249128,7.716586823534089,
112,100,3,39.5,15.0,1.0,1e-06,100.0,80,0.35,0.45,True,58.1,3,0.00013790214648023093,0.01174317446350138,5.824447374004996,
113,100,3,39.5,15.0,1.0,1e-06,100.0,80,0.45,0.55,True,57.900000000000006,3,1.157632384836364e-06,0.0010759332622594972,6.120369854740944,
111,100,3,39.5,15.0,1.0,1e-06,100.0,80,center,center,True,60.7,3,0.0025992988085750852,0.05098331892467462,5.829954231717263,
118,100,3,39.5,15.0,1.0,1e-06,100.0,120,0.45,0.55,True,57.7,3,0.0032484525370041,0.05699519749070179,6.225651514163647,
117,100,3,39.5,15.0,1.0,1e-06,100.0,120,0.35,0.45,True,59.1,3,0.0039028839744072084,0.062473065991731254,8.107355078299243,
120,100,3,39.5,15.0,1.0,1e-06,100.0,120,0.60,0.58,True,59.400000000000006,3,1.9201026189353395e-07,0.00043818975557803033,7.80819520289886,
116,100,3,39.5,15.0,1.0,1e-06,100.0,120,center,center,True,60.6,3,0.0029527052351886788,0.05433880045776387,5.742425977667815,
114,100,3,39.5,15.0,1.0,1e-06,100.0,80,0.60,0.45,True,61.1,3,7.530723621776309e-06,0.002744216394852328,8.426221981507757,
119,100,3,39.5,15.0,1.0,1e-06,100.0,120,0.60,0.45,True,61.300000000000004,3,1.4607690293042472e-07,0.00038220008232655407,8.65070216608704,
162,100,3,39.5,15.0,3.0,1e-07,50.0,25,0.35,0.45,True,54.800000000000004,3,0.035519996534577075,0.18846749463654755,14.812894775710696,
163,100,3,39.5,15.0,3.0,1e-07,50.0,25,0.45,0.55,True,55.1,3,0.035506263928042146,0.18843105882004205,14.922825098471327,
165,100,3,39.5,15.0,3.0,1e-07,50.0,25,0.60,0.58,True,54.6,3,0.0331694543129673,0.18212483167587912,14.757738771210493,
173,100,3,39.5,15.0,3.0,1e-07,50.0,80,0.45,0.55,True,55.1,3,0.035506263928042146,0.18843105882004205,14.922825098471327,
167,100,3,39.5,15.0,3.0,1e-07,50.0,50,0.35,0.45,True,54.800000000000004,3,0.035519996534577075,0.18846749463654755,14.812894775710696,
168,100,3,39.5,15.0,3.0,1e-07,50.0,50,0.45,0.55,True,55.1,3,0.035506263928042146,0.18843105882004205,14.922825098471327,
170,100,3,39.5,15.0,3.0,1e-07,50.0,50,0.60,0.58,True,54.6,3,0.0331694543129673,0.18212483167587912,14.757738771210493,
172,100,3,39.5,15.0,3.0,1e-07,50.0,80,0.35,0.45,True,54.800000000000004,3,0.035519996534577075,0.18846749463654755,14.812894775710696,
175,100,3,39.5,15.0,3.0,1e-07,50.0,80,0.60,0.58,True,54.6,3,0.0331694543129673,0.18212483167587912,14.757738771210493,
164,100,3,39.5,15.0,3.0,1e-07,50.0,25,0.60,0.45,True,67.8,3,0.028592587657140674,0.16909342878166694,15.500314292398073,
169,100,3,39.5,15.0,3.0,1e-07,50.0,50,0.60,0.45,True,67.8,3,0.028592587657140674,0.16909342878166694,15.500314292398073,
174,100,3,39.5,15.0,3.0,1e-07,50.0,80,0.60,0.45,True,67.8,3,0.028592587657140674,0.16909342878166694,15.500314292398073,
171,100,3,39.5,15.0,3.0,1e-07,50.0,80,center,center,True,71.9,3,0.03550864531331334,0.18843737769697746,14.887063906560444,
161,100,3,39.5,15.0,3.0,1e-07,50.0,25,center,center,True,71.10000000000001,3,0.03550864531331334,0.18843737769697746,14.887063906560444,
166,100,3,39.5,15.0,3.0,1e-07,50.0,50,center,center,True,71.9,3,0.03550864531331334,0.18843737769697746,14.887063906560444,
176,100,3,39.5,15.0,3.0,1e-07,50.0,120,center,center,True,71.9,3,0.03550864531331334,0.18843737769697746,14.887063906560444,
177,100,3,39.5,15.0,3.0,1e-07,50.0,120,0.35,0.45,True,54.800000000000004,3,0.035519996534577075,0.18846749463654755,14.812894775710696,
178,100,3,39.5,15.0,3.0,1e-07,50.0,120,0.45,0.55,True,55.1,3,0.035506263928042146,0.18843105882004205,14.922825098471327,
180,100,3,39.5,15.0,3.0,1e-07,50.0,120,0.60,0.58,True,54.6,3,0.0331694543129673,0.18212483167587912,14.757738771210493,
183,100,3,39.5,15.0,3.0,1e-07,100.0,25,0.45,0.55,True,55.1,3,0.035506263928042146,0.18843105882004205,14.922825098471327,
182,100,3,39.5,15.0,3.0,1e-07,100.0,25,0.35,0.45,True,54.800000000000004,3,0.035519996534577075,0.18846749463654755,14.812894775710696,
185,100,3,39.5,15.0,3.0,1e-07,100.0,25,0.60,0.58,True,54.6,3,0.0331694543129673,0.18212483167587912,14.757738771210493,
187,100,3,39.5,15.0,3.0,1e-07,100.0,50,0.35,0.45,True,54.800000000000004,3,0.035519996534577075,0.18846749463654755,14.812894775710696,
188,100,3,39.5,15.0,3.0,1e-07,100.0,50,0.45,0.55,True,55.1,3,0.035506263928042146,0.18843105882004205,14.922825098471327,
190,100,3,39.5,15.0,3.0,1e-07,100.0,50,0.60,0.58,True,54.6,3,0.0331694543129673,0.18212483167587912,14.757738771210493,
192,100,3,39.5,15.0,3.0,1e-07,100.0,80,0.35,0.45,True,54.800000000000004,3,0.035519996534577075,0.18846749463654755,14.812894775710696,
179,100,3,39.5,15.0,3.0,1e-07,50.0,120,0.60,0.45,True,67.8,3,0.028592587657140674,0.16909342878166694,15.500314292398073,
195,100,3,39.5,15.0,3.0,1e-07,100.0,80,0.60,0.58,True,54.6,3,0.0331694543129673,0.18212483167587912,14.757738771210493,
