run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_depth_m,artva_noise_std,noise_detect_factor,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
3492,200,4,132.2,29.8,5.0,1e-08,50.0,80,0.35,0.45,True,164.70000000000002,3,19.507311728072604,4.416708245749611,65.86902393016653,
3493,200,4,132.2,29.8,5.0,1e-08,50.0,80,0.45,0.55,True,165.0,3,0.607353842815965,0.779329097888668,67.38649231909018,
3490,200,4,132.2,29.8,5.0,1e-08,50.0,50,0.60,0.58,True,203.20000000000002,3,1.2506170181121594,1.1183098935948654,70.90712469125859,
3494,200,4,132.2,29.8,5.0,1e-08,50.0,80,0.60,0.45,True,165.3,3,2.4687754548070466,1.571233736529052,65.05264784119355,
3443,200,4,132.2,29.8,3.0,1e-06,50.0,25,0.45,0.55,False,900.0,2,0.0019064520713266194,0.0436629370442097,5.668116037312362,vittima non trovata entro 15 minuti
3451,200,4,132.2,29.8,3.0,1e-06,50.0,80,center,center,False,900.0,2,0.00035494246715690216,0.018839916856422223,13.078615279875596,vittima non trovata entro 15 minuti
3445,200,4,132.2,29.8,3.0,1e-06,50.0,25,0.60,0.58,False,900.0,2,0.005261458359895406,0.07253591082970838,9.405543619888705,vittima non trovata entro 15 minuti
3442,200,4,132.2,29.8,3.0,1e-06,50.0,25,0.35,0.45,False,900.0,2,0.0002360495601856492,0.01536390445771026,9.507575671308489,vittima non trovata entro 15 minuti
3491,200,4,132.2,29.8,5.0,1e-08,50.0,80,center,center,True,253.4,3,194.03140050420075,13.92951544398443,71.75202115317984,
3496,200,4,132.2,29.8,5.0,1e-08,50.0,120,center,center,True,152.6,3,3.293086096954178,1.8146862254820193,70.45003865238118,
3446,200,4,132.2,29.8,3.0,1e-06,50.0,50,center,center,False,900.0,2,0.0010368134742844558,0.032199588107372674,3.8696899422051874,vittima non trovata entro 15 minuti
3495,200,4,132.2,29.8,5.0,1e-08,50.0,80,0.60,0.58,True,205.10000000000002,3,1.250651529639263,1.1183253237047184,70.90708613798812,
3448,200,4,132.2,29.8,3.0,1e-06,50.0,50,0.45,0.55,False,900.0,2,0.00043353016746851226,0.020821387260903445,6.173572604816351,vittima non trovata entro 15 minuti
3497,200,4,132.2,29.8,5.0,1e-08,50.0,120,0.35,0.45,True,164.70000000000002,3,19.507311728072604,4.416708245749611,65.86902393016653,
3447,200,4,132.2,29.8,3.0,1e-06,50.0,50,0.35,0.45,False,900.0,2,0.005135496960348711,0.0716623817658101,1.8640624216253658,vittima non trovata entro 15 minuti
3498,200,4,132.2,29.8,5.0,1e-08,50.0,120,0.45,0.55,True,165.0,3,0.607353842815965,0.779329097888668,67.38649231909018,
3450,200,4,132.2,29.8,3.0,1e-06,50.0,50,0.60,0.58,False,900.0,2,0.005072009385639738,0.07121804115278473,11.864961233867563,vittima non trovata entro 15 minuti
3449,200,4,132.2,29.8,3.0,1e-06,50.0,50,0.60,0.45,False,900.0,2,0.00031768591854314585,0.017823745917823947,11.620075710004585,vittima non trovata entro 15 minuti
3503,200,4,132.2,29.8,5.0,1e-08,100.0,25,0.45,0.55,True,105.0,3,0.0031997702293841044,0.05656651155395836,74.92992795020089,
3499,200,4,132.2,29.8,5.0,1e-08,50.0,120,0.60,0.45,True,165.3,3,2.4687754548070466,1.571233736529052,65.05264784119355,
3505,200,4,132.2,29.8,5.0,1e-08,100.0,25,0.60,0.58,True,105.0,3,0.0,0.0,75.0925073552817,
